input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
aut_00000.hoa,LTL,daisy,0.072,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/2state1ap1acc/aut_00000.hoa
aut_00257.hoa,LTL,daisy,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00257.hoa
aut_00258.hoa,LTL,daisy,0.075,XGa,3,1,3,1.0,363e1c3149e0,TRUE,genaut/corpus/2state1ap1acc/aut_00258.hoa
aut_00261.hoa,LTL,daisy,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00261.hoa
aut_00262.hoa,LTL,daisy,0.074,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_00262.hoa
aut_00265.hoa,LTL,daisy,0.074,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00265.hoa
aut_00288.hoa,NOT_LTL,,1.195,,,,,,,,genaut/corpus/2state1ap1acc/aut_00288.hoa
aut_00290.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.238,X(a & G(a | Xa)),6,1,8,1.3,f81a669277ad,TRUE,genaut/corpus/2state1ap1acc/aut_00290.hoa
aut_00292.hoa,LTL,daisy2,0.070,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_00292.hoa
aut_00294.hoa,LTL,buchi+daisy+deep_roundtrip+inv+strength2,1.196,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_00294.hoa
aut_00296.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.238,X(a & G(a | Xa)),6,1,8,1.3,f81a669277ad,TRUE,genaut/corpus/2state1ap1acc/aut_00296.hoa
aut_00298.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.245,X(a & G(a | Xa)),6,1,8,1.3,f81a669277ad,TRUE,genaut/corpus/2state1ap1acc/aut_00298.hoa
aut_00300.hoa,LTL,daisy2,0.071,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_00300.hoa
aut_00324.hoa,LTL,daisy2,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00324.hoa
aut_00326.hoa,LTL,acc,1.199,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00326.hoa
aut_00328.hoa,LTL,daisy2,0.072,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00328.hoa
aut_00330.hoa,LTL,daisy,0.075,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00330.hoa
aut_00356.hoa,LTL,daisy2,0.073,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00356.hoa
aut_00358.hoa,LTL,acc,1.248,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00358.hoa
aut_00360.hoa,LTL,daisy2,0.073,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00360.hoa
aut_00364.hoa,LTL,daisy2,0.069,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00364.hoa
aut_00388.hoa,LTL,daisy2,0.072,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_00388.hoa
aut_00390.hoa,LTL,buchi+daisy+deep_roundtrip+inv+strength2,1.201,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_00390.hoa
aut_00391.hoa,LTL,acc,1.197,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_00391.hoa
aut_00392.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.244,X(a & G(a | Xa)),6,1,8,1.3,f81a669277ad,TRUE,genaut/corpus/2state1ap1acc/aut_00392.hoa
aut_00396.hoa,LTL,daisy2,0.073,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_00396.hoa
aut_00513.hoa,LTL,daisy,0.071,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00513.hoa
aut_00514.hoa,LTL,daisy,0.074,Ga,2,1,2,1.0,79182d6e45ae,TRUE,genaut/corpus/2state1ap1acc/aut_00514.hoa
aut_00515.hoa,LTL,daisy,0.075,a & XG!a,5,1,6,1.2,af6c1ac2c6d1,TRUE,genaut/corpus/2state1ap1acc/aut_00515.hoa
aut_00517.hoa,LTL,daisy,0.072,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00517.hoa
aut_00518.hoa,LTL,daisy,0.071,a & GFa,4,2,5,1.2,096142f8aab2,TRUE,genaut/corpus/2state1ap1acc/aut_00518.hoa
aut_00519.hoa,LTL,daisy,0.071,a & GF!a,5,2,6,1.2,9d3b3036c852,TRUE,genaut/corpus/2state1ap1acc/aut_00519.hoa
aut_00521.hoa,LTL,daisy,0.071,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00521.hoa
aut_00528.hoa,NOT_LTL,,1.179,,,,,,,,genaut/corpus/2state1ap1acc/aut_00528.hoa
aut_00530.hoa,LTL,partscc,0.077,a & G(a | Xa),5,1,7,1.4,160e89dc0907,TRUE,genaut/corpus/2state1ap1acc/aut_00530.hoa
aut_00531.hoa,NOT_LTL,,1.183,,,,,,,,genaut/corpus/2state1ap1acc/aut_00531.hoa
aut_00532.hoa,LTL,buchi+daisy+deep_roundtrip,1.438,a & F(a & XXFa) & XG(!a | XXFa),11,3,18,1.6,8eec75ded36e,TRUE,genaut/corpus/2state1ap1acc/aut_00532.hoa
aut_00533.hoa,LTL,daisy,0.072,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00533.hoa
aut_00534.hoa,LTL,buchi+daisy+deep_roundtrip+inv+scc2+strength2,1.257,a & GFa,4,2,5,1.2,096142f8aab2,TRUE,genaut/corpus/2state1ap1acc/aut_00534.hoa
aut_00535.hoa,LTL,acc,1.219,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00535.hoa
aut_00536.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.247,a & G(a | Xa),5,1,7,1.4,160e89dc0907,TRUE,genaut/corpus/2state1ap1acc/aut_00536.hoa
aut_00540.hoa,NOT_LTL,,1.204,,,,,,,,genaut/corpus/2state1ap1acc/aut_00540.hoa
aut_00543.hoa,NOT_LTL,,1.205,,,,,,,,genaut/corpus/2state1ap1acc/aut_00543.hoa
aut_00547.hoa,NOT_LTL,,1.201,,,,,,,,genaut/corpus/2state1ap1acc/aut_00547.hoa
aut_00548.hoa,LTL,buchi+daisy+daisy2+daisystar+daisystardet+deep_roundtrip+inv+partscc+scc2+strength2,11.501,a & ((X((a & X(Ga | G(!a | X!a))) R (!a | X(!a | Ga | X((!a & G(!a | X!a)) | F(!…,62,14,436,7.0,e8063cd91d16,TRUE,genaut/corpus/2state1ap1acc/aut_00548.hoa
aut_00551.hoa,LTL,acc,1.248,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00551.hoa
aut_00552.hoa,LTL,daisy,0.079,Ga,2,1,2,1.0,79182d6e45ae,TRUE,genaut/corpus/2state1ap1acc/aut_00552.hoa
aut_00556.hoa,NOT_LTL,,1.246,,,,,,,,genaut/corpus/2state1ap1acc/aut_00556.hoa
aut_00560.hoa,LTL,partscc,0.076,a & G((a | Xa) & (!a | X!a)),9,1,14,1.6,053bcb772803,TRUE,genaut/corpus/2state1ap1acc/aut_00560.hoa
aut_00562.hoa,LTL,partscc,0.073,a & G(a | Xa),5,1,7,1.4,160e89dc0907,TRUE,genaut/corpus/2state1ap1acc/aut_00562.hoa
aut_00563.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.257,a & G(!a | X!a),6,1,9,1.5,81f0fa6964c0,TRUE,genaut/corpus/2state1ap1acc/aut_00563.hoa
aut_00564.hoa,TIMEOUT,,16.008,,,,,,,,genaut/corpus/2state1ap1acc/aut_00564.hoa
aut_00567.hoa,LTL,buchi+daisy+deep_roundtrip+inv+strength2,1.283,a & GF!a,5,2,6,1.2,9d3b3036c852,TRUE,genaut/corpus/2state1ap1acc/aut_00567.hoa
aut_00568.hoa,LTL,partscc,0.086,a & G((a | Xa) & F!a),8,2,11,1.4,137572162786,TRUE,genaut/corpus/2state1ap1acc/aut_00568.hoa
aut_00572.hoa,LTL,buchi+daisy+deep_roundtrip+partscc,1.233,a & X(!a & G(Fa & (!a | X!a))),10,2,16,1.6,1737b59f31c7,TRUE,genaut/corpus/2state1ap1acc/aut_00572.hoa
aut_00575.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.268,a & G(!a | X!a),6,1,9,1.5,81f0fa6964c0,TRUE,genaut/corpus/2state1ap1acc/aut_00575.hoa
aut_00580.hoa,LTL,buchi+daisy+deep_roundtrip,1.252,a & F(a & XXFa) & XG(!a | XXFa),11,3,18,1.6,8eec75ded36e,TRUE,genaut/corpus/2state1ap1acc/aut_00580.hoa
aut_00583.hoa,LTL,acc,1.220,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_00583.hoa
