input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
2state1ap1acc_00000.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00000.hoa
2state1ap1acc_00257.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00257.hoa
2state1ap1acc_00258.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00258.hoa
2state1ap1acc_00259.hoa,LTL,oracle,0.590,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00259.hoa
2state1ap1acc_00262.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00262.hoa
2state1ap1acc_00263.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00263.hoa
2state1ap1acc_00265.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00265.hoa
2state1ap1acc_00271.hoa,LTL,oracle,0.598,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00271.hoa
2state1ap1acc_00274.hoa,NOT_LTL,oracle,0.593,p=2 u=[!a; !a] v=[!a] x=[!a; cycle{a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00274.hoa
2state1ap1acc_00276.hoa,LTL,oracle,0.598,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00276.hoa
2state1ap1acc_00278.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00278.hoa
2state1ap1acc_00280.hoa,NOT_LTL,oracle,0.601,p=2 u=[!a] v=[!a] x=[a; cycle{!a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00280.hoa
2state1ap1acc_00284.hoa,LTL,oracle,0.600,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00284.hoa
2state1ap1acc_00287.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00287.hoa
2state1ap1acc_00288.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00288.hoa
2state1ap1acc_00289.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_00289.hoa
