formula,class,mp,technique,dag_nodes,temporals,tree_nodes,sharing,build_s,equiv,reconstructed
aut_00000.hoa,?,?,daisy,1,0,1,1.0,0.068,True,0
aut_00257.hoa,?,?,daisy,1,0,1,1.0,0.066,True,1
aut_00258.hoa,?,?,daisy,3,1,3,1.0,0.067,True,XGa
aut_00261.hoa,?,?,daisy,1,0,1,1.0,0.061,True,1
aut_00262.hoa,?,?,daisy,3,2,3,1.0,0.066,True,GFa
aut_00265.hoa,?,?,daisy,1,0,1,1.0,0.065,True,1
aut_00288.hoa,?,?,-,,,,,0.592,NOT_LTL,
aut_00290.hoa,?,?,buchi,31,5,72,2.3,1.140,True,X(a & ((XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))) | (X(a | Xa) & (…
aut_00292.hoa,?,?,daisy2,3,2,3,1.0,0.066,True,GFa
aut_00294.hoa,?,?,buchi,9,3,14,1.6,1.115,True,X(Fa & G(!a | X(!a R Fa)))
aut_00296.hoa,?,?,buchi,31,5,72,2.3,1.120,True,X(a & ((XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))) | (X(a | Xa) & (…
aut_00298.hoa,?,?,buchi,31,5,72,2.3,1.136,True,X(a & ((XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))) | (X(a | Xa) & (…
aut_00300.hoa,?,?,daisy2,3,2,3,1.0,0.064,True,GFa
aut_00324.hoa,?,?,daisy2,1,0,1,1.0,0.062,True,1
aut_00326.hoa,?,?,acc,1,0,1,1.0,1.103,True,1
aut_00328.hoa,?,?,daisy2,1,0,1,1.0,0.066,True,1
aut_00330.hoa,?,?,daisy,1,0,1,1.0,0.065,True,1
aut_00356.hoa,?,?,daisy2,1,0,1,1.0,0.065,True,1
aut_00358.hoa,?,?,acc,1,0,1,1.0,1.109,True,1
aut_00360.hoa,?,?,daisy2,1,0,1,1.0,0.066,True,1
aut_00364.hoa,?,?,daisy2,1,0,1,1.0,0.062,True,1
