input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state3ap0acc_000.hoa,LTL,daisy,0.078,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.045,genaut/corpus/1state3ap0acc/1state3ap0acc_000.hoa
1state3ap0acc_001.hoa,LTL,daisy,0.078,G(!a & !b & !c),8,1,8,1.0,726a8305657e,TRUE,0.045,genaut/corpus/1state3ap0acc/1state3ap0acc_001.hoa
1state3ap0acc_003.hoa,LTL,daisy,0.081,G(!b & !c),6,1,6,1.0,18b37c9cd521,TRUE,0.047,genaut/corpus/1state3ap0acc/1state3ap0acc_003.hoa
1state3ap0acc_006.hoa,LTL,daisy,0.078,G((!a & b & !c) | (a & !b & !c)),10,1,14,1.4,790597fc140e,TRUE,0.046,genaut/corpus/1state3ap0acc/1state3ap0acc_006.hoa
1state3ap0acc_007.hoa,LTL,daisy,0.076,G((!a & !c) | (!b & !c)),10,1,12,1.2,61965eb5f6d7,TRUE,0.045,genaut/corpus/1state3ap0acc/1state3ap0acc_007.hoa
1state3ap0acc_015.hoa,LTL,daisy,0.075,G!c,3,1,3,1.0,2f80e18a75e3,TRUE,0.043,genaut/corpus/1state3ap0acc/1state3ap0acc_015.hoa
1state3ap0acc_018.hoa,LTL,daisy,0.080,G((!a & !b & c) | (a & !b & !c)),10,1,14,1.4,afb43b905362,TRUE,0.048,genaut/corpus/1state3ap0acc/1state3ap0acc_018.hoa
1state3ap0acc_019.hoa,LTL,daisy,0.077,G((!a & !b) | (!b & !c)),10,1,12,1.2,df4c94880294,TRUE,0.044,genaut/corpus/1state3ap0acc/1state3ap0acc_019.hoa
1state3ap0acc_020.hoa,LTL,daisy,0.078,G((!a & !b & c) | (!a & b & !c)),10,1,14,1.4,aee6a5eeb879,TRUE,0.046,genaut/corpus/1state3ap0acc/1state3ap0acc_020.hoa
1state3ap0acc_021.hoa,LTL,daisy,0.077,G((!a & !b) | (!a & !c)),10,1,12,1.2,ec7257b71bfb,TRUE,0.047,genaut/corpus/1state3ap0acc/1state3ap0acc_021.hoa
