pop,a,b,aps,n_a,n_b,sigma,nodes,ratio,align_ms,note
large,3state1ap0acc_005262,3state1ap0acc_013864_c,1,50,65,2,1053,0.324,0.942,
large,3state1ap0acc_005262,3state1ap0acc_029976,1,50,63,2,499,0.1584,0.457,
large,3state1ap0acc_005276,3state1ap0acc_015432,1,97,50,2,704,0.1452,0.666,
large,3state1ap0acc_005276,3state1ap0acc_020912,1,97,65,2,859,0.1362,0.791,
large,3state1ap0acc_005286,3state1ap0acc_076302,1,50,72,2,486,0.135,0.439,
large,3state1ap0acc_005300_c,3state1ap0acc_025968_c,1,71,57,2,638,0.1576,0.572,
large,3state1ap0acc_005300_c,3state1ap0acc_029705,1,71,58,2,547,0.1328,0.489,
large,3state1ap0acc_005528,3state1ap0acc_071302,1,59,69,2,667,0.1638,0.618,
large,3state1ap0acc_005528_c,3state1ap0acc_013604_c,1,59,97,2,793,0.1386,0.717,
large,3state1ap0acc_005528_c,3state1ap0acc_026708,1,59,80,2,613,0.1299,0.547,
large,3state1ap0acc_005528_c,3state1ap0acc_071064,1,59,69,2,474,0.1164,0.427,
large,3state1ap0acc_005646,3state1ap0acc_013592_c,1,50,65,2,1180,0.3631,1.114,
large,3state1ap0acc_005646_c,3state1ap0acc_021657_c,1,50,67,2,321,0.0958,0.296,
large,3state1ap0acc_005676,3state1ap0acc_030984_c,1,50,50,2,131,0.0524,0.119,
large,3state1ap0acc_005676_c,3state1ap0acc_029708,1,50,121,2,972,0.1607,0.893,
large,3state1ap0acc_005676_c,3state1ap0acc_079492,1,50,55,2,352,0.128,0.315,
large,3state1ap0acc_005684,3state1ap0acc_074852,1,121,59,2,936,0.1311,0.836,
large,3state1ap0acc_005684_c,3state1ap0acc_007452_c,1,121,51,2,437,0.0708,0.396,
large,3state1ap0acc_005766,3state1ap0acc_015428,1,50,121,2,1296,0.2142,1.343,
large,3state1ap0acc_005772,3state1ap0acc_007452,1,50,51,2,405,0.1588,0.367,
large,3state1ap0acc_005788,3state1ap0acc_021670,1,72,79,2,272,0.0478,0.252,
large,3state1ap0acc_005788,3state1ap0acc_025893_c,1,72,69,2,450,0.0906,0.402,
large,3state1ap0acc_005788,3state1ap0acc_092184,1,72,50,2,432,0.12,0.388,
large,3state1ap0acc_005788_c,3state1ap0acc_007716_c,1,72,50,2,447,0.1242,0.407,
large,3state1ap0acc_006413_c,3state1ap0acc_074412,1,51,58,2,238,0.0805,0.216,
large,3state1ap0acc_006422,3state1ap0acc_006538_c,1,72,51,2,332,0.0904,0.296,
large,3state1ap0acc_006422_c,3state1ap0acc_013388_c,1,72,54,2,358,0.0921,0.317,
large,3state1ap0acc_006428,3state1ap0acc_007302,1,58,50,2,576,0.1986,0.509,
large,3state1ap0acc_006428_c,3state1ap0acc_007462_c,1,58,55,2,431,0.1351,0.386,
large,3state1ap0acc_006428_c,3state1ap0acc_029796,1,58,67,2,368,0.0947,0.328,
large,3state1ap0acc_006428_c,3state1ap0acc_079365,1,58,72,2,310,0.0742,0.283,
large,3state1ap0acc_006470,3state1ap0acc_013606_c,1,51,55,2,327,0.1166,0.308,
large,3state1ap0acc_006470,3state1ap0acc_013893,1,51,61,2,281,0.0903,0.255,
large,3state1ap0acc_006470,3state1ap0acc_078420,1,51,58,2,165,0.0558,0.151,
large,3state1ap0acc_006470_c,3state1ap0acc_075913_c,1,51,68,2,452,0.1303,0.411,
large,3state1ap0acc_006538,3state1ap0acc_071772_c,1,51,63,2,321,0.0999,0.294,
large,3state1ap0acc_006538_c,3state1ap0acc_080900,1,51,62,2,252,0.0797,0.232,
large,3state1ap0acc_007190_c,3state1ap0acc_070812_c,1,71,57,2,563,0.1391,0.512,
large,3state1ap0acc_007196,3state1ap0acc_013325_c,1,121,62,2,479,0.0638,0.436,
large,3state1ap0acc_007198_c,3state1ap0acc_025272,1,50,63,2,279,0.0886,0.247,
large,3state1ap0acc_007198_c,3state1ap0acc_071702_c,1,50,51,2,133,0.0522,0.122,
large,3state1ap0acc_007206,3state1ap0acc_092184_c,1,50,50,2,176,0.0704,0.156,
large,3state1ap0acc_007206_c,3state1ap0acc_093192_c,1,50,50,2,131,0.0524,0.126,
large,3state1ap0acc_007302,3state1ap0acc_092426_c,1,50,69,2,472,0.1368,0.431,
large,3state1ap0acc_007302_c,3state1ap0acc_013892_c,1,50,93,2,783,0.1684,0.713,
large,3state1ap0acc_007302_c,3state1ap0acc_025690,1,50,79,2,545,0.138,0.48,
large,3state1ap0acc_007302_c,3state1ap0acc_071302,1,50,69,2,472,0.1368,0.417,
large,3state1ap0acc_007302_c,3state1ap0acc_072710,1,50,77,2,536,0.1392,0.487,
large,3state1ap0acc_007324,3state1ap0acc_026129,1,53,60,2,359,0.1129,0.32,
large,3state1ap0acc_007324_c,3state1ap0acc_007462,1,53,55,2,358,0.1228,0.323,
large,3state1ap0acc_007332,3state1ap0acc_079944_c,1,50,50,2,167,0.0668,0.151,
large,3state1ap0acc_007332_c,3state1ap0acc_025714_c,1,50,72,2,432,0.12,0.369,
large,3state1ap0acc_007430_c,3state1ap0acc_025712,1,77,97,2,638,0.0854,0.577,
large,3state1ap0acc_007433_c,3state1ap0acc_029264,1,51,121,2,252,0.0408,0.229,
large,3state1ap0acc_007436,3state1ap0acc_078857,1,62,51,2,336,0.1063,0.309,
large,3state1ap0acc_007448_c,3state1ap0acc_071174,1,58,73,2,766,0.1809,0.678,
large,3state1ap0acc_007452,3state1ap0acc_025701_c,1,51,67,2,332,0.0972,0.295,
large,3state1ap0acc_007452_c,3state1ap0acc_015752_c,1,51,68,2,156,0.045,0.144,
large,3state1ap0acc_007692,3state1ap0acc_071942,1,50,51,2,595,0.2333,0.519,
large,3state1ap0acc_007692_c,3state1ap0acc_071772_c,1,50,63,2,440,0.1397,0.397,
large,3state1ap0acc_007692_c,3state1ap0acc_074828,1,50,65,2,1089,0.3351,0.994,
large,3state1ap0acc_007716,3state1ap0acc_021660_c,1,50,67,2,276,0.0824,0.246,
large,3state1ap0acc_013326,3state1ap0acc_071702_c,1,50,51,2,306,0.12,0.275,
large,3state1ap0acc_013326_c,3state1ap0acc_086424_c,1,50,69,2,565,0.1638,0.505,
large,3state1ap0acc_013350,3state1ap0acc_075976_c,1,50,121,2,977,0.1615,0.884,
