op,case,calc_ms,spot_ms,spot2_ms,nodes,cells,linked,note
align,1state1ap0acc_1×3state1ap0acc_007814_c,0.0259,,,20,400,84,cold
align,1state1ap0acc_1×3state1ap0acc_024649_c,0.0195,,,13,169,29,cold
align,1state1ap2acc_024×2state1ap2acc_parity_0354844676,0.0168,,,9,81,19,cold
align,1state1ap2acc_parity_018×2state1ap2acc_parity_0717767747_c,0.0182,,,12,144,15,cold
align,1state2ap2acc_00386_c×1state2ap2acc_01680,0.0198,,,8,64,14,cold
align,1state2ap2acc_00390×1state2ap2acc_parity_00266_c,0.0174,,,5,25,11,cold
align,1state3ap0acc_007_c×1state3ap1acc_00362_c,0.0234,,,6,36,9,cold
align,1state3ap0acc_031_c×1state3ap1acc_01569_c,0.0283,,,7,49,9,cold
align,1state3ap1acc_00386×1state3ap1acc_00398,0.0216,,,5,25,12,cold
align,1state3ap1acc_00446×1state3ap1acc_05992,0.0238,,,5,25,12,cold
align,1state3ap1acc_00792_c×1state3ap1acc_01656_c,0.0337,,,9,81,12,cold
align,1state3ap1acc_01568_c×1state3ap1acc_06180,0.0289,,,7,49,12,cold
align,1state3ap1acc_01585×1state3ap1acc_01896_c,0.0239,,,6,36,12,cold
align,1state3ap1acc_02024_c×1state3ap1acc_05992,0.0256,,,6,36,12,cold
align,1state3ap1acc_05640×1state3ap1acc_06948_c,0.0364,,,9,81,12,cold
align,1state3ap1acc_06147×1state3ap1acc_32640,0.0231,,,6,36,9,cold
align,1state3ap1acc_06247×1state3ap1acc_06562_c,0.0336,,,7,49,12,cold
align,1state3ap1acc_06432_c×1state3ap1acc_27030_c,0.0265,,,7,49,9,cold
align,1state3ap1acc_06436×1state3ap1acc_08096,0.0378,,,9,81,12,cold
align,2state1ap0acc_018×3state1ap0acc_007208_c,0.0357,,,26,676,50,cold
align,2state1ap0acc_019×3state1ap0acc_025233_c,0.0304,,,26,676,95,cold
align,2state1ap0acc_025_c×3state1ap0acc_012682,0.0386,,,36,1296,65,cold
align,2state1ap0acc_025_c×3state1ap0acc_026192_c,0.0667,,,65,4225,179,cold
align,2state1ap0acc_026_c×3state1ap0acc_078374,0.0241,,,16,256,25,cold
align,2state1ap0acc_028_c×3state1ap0acc_005132_c,0.0553,,,57,3249,40,cold
align,2state1ap0acc_028_c×3state1ap0acc_006324_c,0.0612,,,55,3025,203,cold
align,2state1ap0acc_028×2state1ap2acc_parity_0098403592_c,0.0223,,,13,169,38,cold
align,2state1ap0acc_030_c×3state1ap0acc_025957_c,0.0578,,,53,2809,214,cold
align,2state1ap0acc_082×3state1ap0acc_007686_c,0.0372,,,29,841,93,cold
align,2state1ap0acc_097_c×3state1ap0acc_024648_c,0.0294,,,18,324,13,cold
align,2state1ap0acc_122×3state1ap0acc_006788,0.0263,,,14,196,34,cold
align,2state1ap1acc_00262_c×3state1ap0acc_078340_c,0.0221,,,12,144,14,cold
align,2state1ap1acc_00262×3state1ap0acc_029736,0.0178,,,11,121,28,cold
align,2state1ap1acc_00265×2state1ap2acc_parity_0006266880,0.029,,,16,256,31,cold
align,2state1ap1acc_00280_c×2state1ap1acc_01604_c,0.0365,,,29,841,44,cold
