pair,stage,calc_n,calc_ms,calc_recheck_ms,calc_empty,spot_states,spot_ms,spot_recheck_ms,spot_empty,note
2state1ap2acc_parity_0071469096_c×3state1ap0acc_090720_c,E1=¬A,15,0.1323,0.0001,0,7,0.0275,0.0054,0,
2state1ap2acc_parity_0071469096_c×3state1ap0acc_090720_c,E2=E1∩B,57,2.0646,0.0002,0,12,0.0583,0.0065,0,
2state1ap2acc_parity_0071469096_c×3state1ap0acc_090720_c,E3=¬E2,57,1.2886,0.0001,0,13,0.0396,0.0059,0,
2state1ap2acc_parity_0071469096_c×3state1ap0acc_090720_c,E4=E3∪A,57,2.0933,0.0002,0,18,0.1506,0.0072,0,
2state1ap2acc_parity_0285476138_c×2state1ap2acc_parity_0710149141,E1=¬A,14,0.1097,0.0001,0,3,0.0164,0.0034,0,
2state1ap2acc_parity_0285476138_c×2state1ap2acc_parity_0710149141,E2=E1∩B,14,0.2036,0.0001,0,4,0.0196,0.0035,0,
2state1ap2acc_parity_0285476138_c×2state1ap2acc_parity_0710149141,E3=¬E2,14,0.1197,0.0001,0,5,0.0192,0.0032,0,
2state1ap2acc_parity_0285476138_c×2state1ap2acc_parity_0710149141,E4=E3∪A,14,0.2103,0.0001,0,5,0.0361,0.0033,0,
2state1ap2acc_parity_0285476138_c×3state1ap0acc_005764,E1=¬A,14,0.1105,0.0001,0,3,0.0155,0.0031,0,
2state1ap2acc_parity_0285476138_c×3state1ap0acc_005764,E2=E1∩B,32,1.3382,0.0001,0,8,0.0298,0.0038,0,
2state1ap2acc_parity_0285476138_c×3state1ap0acc_005764,E3=¬E2,32,0.4584,0.0001,0,9,0.0285,0.0038,0,
2state1ap2acc_parity_0285476138_c×3state1ap0acc_005764,E4=E3∪A,32,1.0696,0.0001,0,9,0.0428,0.0036,0,
2state1ap2acc_parity_1345235106×3state1ap0acc_007300_c,E1=¬A,14,0.1198,0.0001,0,6,0.0231,0.0032,0,
2state1ap2acc_parity_1345235106×3state1ap0acc_007300_c,E2=E1∩B,57,2.0395,0.0001,0,12,0.0469,0.0041,0,
2state1ap2acc_parity_1345235106×3state1ap0acc_007300_c,E3=¬E2,57,1.2673,0.0001,0,11,0.0322,0.0047,0,
2state1ap2acc_parity_1345235106×3state1ap0acc_007300_c,E4=E3∪A,57,2.0784,0.0002,0,11,0.0446,0.0047,0,
2state1ap2acc_parity_1413644800×3state1ap0acc_030340_c,E1=¬A,14,0.1182,0.0001,0,7,0.0243,0.0055,0,
2state1ap2acc_parity_1413644800×3state1ap0acc_030340_c,E2=E1∩B,31,0.8001,0.0001,0,8,0.0319,0.0056,0,
2state1ap2acc_parity_1413644800×3state1ap0acc_030340_c,E3=¬E2,31,0.4279,0.0001,0,9,0.0305,0.0057,0,
2state1ap2acc_parity_1413644800×3state1ap0acc_030340_c,E4=E3∪A,31,0.8091,0.0001,0,14,0.0504,0.0128,0,
3state1ap0acc_004660×3state1ap0acc_029066,E1=¬A,16,0.1232,0.0001,0,5,0.0164,0.0034,0,
3state1ap0acc_004660×3state1ap0acc_029066,E2=E1∩B,32,0.9317,0.0001,0,10,0.0342,0.0046,0,
3state1ap0acc_004660×3state1ap0acc_029066,E3=¬E2,32,0.3963,0.0001,0,11,0.03,0.0047,0,
3state1ap0acc_004660×3state1ap0acc_029066,E4=E3∪A,32,0.9236,0.0001,0,11,0.0433,0.0045,0,
3state1ap0acc_004836_c×3state1ap0acc_005402_c,E1=¬A,17,0.1432,0.0001,0,4,0.0161,0.003,0,
3state1ap0acc_004836_c×3state1ap0acc_005402_c,E2=E1∩B,58,2.1403,0.0001,0,14,0.0393,0.0054,0,
3state1ap0acc_004836_c×3state1ap0acc_005402_c,E3=¬E2,58,1.3006,0.0002,0,14,0.0414,0.0055,0,
3state1ap0acc_004836_c×3state1ap0acc_005402_c,E4=E3∪A,58,2.1955,0.0002,0,14,0.0466,0.0056,0,
3state1ap0acc_005164×3state1ap0acc_070284_c,E1=¬A,14,0.1097,0.0001,0,7,0.0212,0.0038,0,
3state1ap0acc_005164×3state1ap0acc_070284_c,E2=E1∩B,37,0.8984,0.0001,0,14,0.044,0.0053,0,
3state1ap0acc_005164×3state1ap0acc_070284_c,E3=¬E2,37,0.511,0.0001,0,13,0.0328,0.0047,0,
3state1ap0acc_005164×3state1ap0acc_070284_c,E4=E3∪A,37,0.8758,0.0001,0,13,0.0377,0.0049,0,
3state1ap0acc_005402×3state1ap0acc_106636_c,E1=¬A,17,0.1491,0.0001,0,6,0.0196,0.0034,0,
3state1ap0acc_005402×3state1ap0acc_106636_c,E2=E1∩B,35,0.7788,0.0001,0,11,0.0325,0.0047,0,
