case,aps,classes,ours,spot,agree,ltl,spot_ms,note
1state1ap0acc_0,0,2,invariant,invariant,yes,yes,0.07,
1state1ap0acc_1,1,3,invariant,invariant,yes,yes,0.01,
1state1ap0acc_3,0,2,invariant,invariant,yes,yes,0.02,
1state1ap1acc_06,1,3,invariant,invariant,yes,yes,0.01,
1state1ap2acc_024,1,4,invariant,invariant,yes,yes,0.02,
1state1ap2acc_parity_018,1,3,invariant,invariant,yes,yes,0.01,
1state2ap0acc_01,2,3,invariant,invariant,yes,yes,0.01,
1state2ap0acc_01_c,2,3,invariant,invariant,yes,yes,0.01,
1state2ap0acc_03,1,3,invariant,invariant,yes,yes,0.01,
1state2ap0acc_03_c,1,3,invariant,invariant,yes,yes,0.01,
1state2ap0acc_06,2,3,invariant,invariant,yes,yes,0.01,
1state2ap0acc_06_c,2,3,invariant,invariant,yes,yes,0.01,
1state2ap0acc_07,2,3,invariant,invariant,yes,yes,0.01,
1state2ap0acc_07_c,2,3,invariant,invariant,yes,yes,0.01,
1state2ap1acc_018,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_018_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_022,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_022_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_024,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_024_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_026,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_026_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_030,2,3,invariant,invariant,yes,yes,0.01,
1state2ap1acc_052,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_052_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_060,1,3,invariant,invariant,yes,yes,0.0,
1state2ap1acc_097,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_097_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap1acc_105,2,3,invariant,invariant,yes,yes,0.0,
1state2ap1acc_120,2,3,invariant,invariant,yes,yes,0.0,
1state2ap2acc_00288,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00288_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00292,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00292_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00300,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00300_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00352,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00352_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00360,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00360_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00384,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00384_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00386,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00386_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00390,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00390_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00416,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00416_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00420,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00420_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00480,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00480_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00960,1,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_00960_c,1,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_01680,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_01680_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04672,2,6,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04672_c,2,6,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04680,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04680_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04736,2,6,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04736_c,2,6,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04740,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04740_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04800,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_04800_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_05760,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_05760_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_13440,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_13440_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_24960,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_24960_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00258,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00258_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00262,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00262_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00264,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00264_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00266,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00266_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00270,2,3,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00772,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00772_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_00780,1,3,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_01537,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_01537_c,2,4,invariant,invariant,yes,yes,0.0,
1state2ap2acc_parity_01545,2,3,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_01800,2,3,invariant,invariant,yes,yes,0.0,
1state2ap2acc_parity_04612,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_04612_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_04616,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_04616_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_04620,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_04620_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_05640,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_05640_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_06146,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_06146_c,2,5,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_06150,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_06150_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_06660,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_06660_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_13320,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_13320_c,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_24840,2,4,invariant,invariant,yes,yes,0.01,
1state2ap2acc_parity_24840_c,2,4,invariant,invariant,yes,yes,0.01,
1state3ap0acc_001,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_001_c,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_003,2,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_003_c,2,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_006,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_006_c,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_007,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_007_c,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_015,1,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_015_c,1,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_022,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_022_c,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_023,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_023_c,3,3,invariant,invariant,yes,yes,0.0,
1state3ap0acc_024,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_024_c,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_025,3,3,invariant,invariant,yes,yes,0.0,
1state3ap0acc_025_c,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_027,3,3,invariant,invariant,yes,yes,0.0,
1state3ap0acc_027_c,3,3,invariant,invariant,yes,yes,0.01,
1state3ap0acc_030,3,3,invariant,invariant,yes,yes,0.0,
1state3ap0acc_030_c,3,3,invariant,invariant,yes,yes,0.0,
1state3ap0acc_031,3,3,invariant,invariant,yes,yes,0.0,
