case,aps,classes,ltl,ours_safety,ours_cosafety,ours_obligation,ours_degree,spot_safety,spot_cosafety,spot_obligation,agree,rung,ours_safety_ms,ours_cosafety_ms,ours_obl_ms,ours_deg_ms,spot_safety_ms,spot_cosafety_ms,spot_obl_ms,note
1state1ap0acc_0,0,2,yes,1,1,1,"-1,0",1,1,1,yes,B,0.0008360948413610458,0.0007951166480779648,0.0016421545296907425,0.003921100869774818,0.00041117891669273376,0.0013620592653751373,0.0032191164791584015,
1state1ap0acc_1,1,3,yes,1,0,1,"1,0",1,0,1,yes,S,0.0007899943739175797,0.0009071081876754761,0.00202888622879982,0.005273148417472839,0.0006509944796562195,0.0014370307326316833,0.004239846020936966,
1state1ap0acc_3,0,2,yes,1,1,1,"0,-1",1,1,1,yes,B,0.0007159542292356491,0.0007371418178081512,0.0013869721442461014,0.003491062670946121,0.00022188760340213776,0.0009660143405199051,0.003166031092405319,
1state1ap1acc_06,1,3,yes,0,0,0,,0,0,0,yes,-,0.000817934051156044,0.0008579809218645096,0.0002698507159948349,,0.0005639158189296722,0.0014640390872955322,0.00368291512131691,
1state1ap2acc_024,1,4,yes,0,0,0,,0,0,0,yes,-,0.0010218936949968338,0.0010470394045114517,0.00030710361897945404,,0.0005308538675308228,0.001400010660290718,0.0035229604691267014,
1state1ap2acc_parity_018,1,3,yes,0,0,0,,0,0,0,yes,-,0.0007699709385633469,0.0008139759302139282,0.0002598389983177185,,0.0005739275366067886,0.0015129335224628448,0.004060100764036179,
1state2ap0acc_01,2,3,yes,1,0,1,"1,0",1,0,1,yes,S,0.000833999365568161,0.0008009374141693115,0.002055894583463669,0.005559995770454407,0.00062515027821064,0.0014980323612689972,0.00420818105340004,
1state2ap0acc_01_c,2,3,yes,0,1,1,"0,1",0,1,1,yes,G,0.0008919741958379745,0.0008549541234970093,0.002182088792324066,0.005597015842795372,0.00042188912630081177,0.0016239937394857407,0.004386063665151596,
1state2ap0acc_03,1,3,yes,1,0,1,"1,0",1,0,1,yes,S,0.0009329523891210556,0.0008260831236839294,0.0019709113985300064,0.005388166755437851,0.0006190966814756393,0.0014579854905605316,0.0036640558391809464,
1state2ap0acc_03_c,1,3,yes,0,1,1,"0,1",0,1,1,yes,G,0.0010279472917318344,0.0010218936949968338,0.0020908191800117493,0.00523286871612072,0.00046589411795139313,0.0015760306268930435,0.0042689498513937,
1state2ap0acc_06,2,3,yes,1,0,1,"1,0",1,0,1,yes,S,0.0008258502930402756,0.0008561182767152786,0.0021581072360277176,0.005408888682723045,0.0005899928510189056,0.0016051344573497772,0.003856141120195389,
1state2ap0acc_06_c,2,3,yes,0,1,1,"0,1",0,1,1,yes,G,0.0008740462362766266,0.0008421484380960464,0.0020919833332300186,0.005317851901054382,0.0004309695214033127,0.0018030405044555664,0.004330882802605629,
1state2ap0acc_07,2,3,yes,1,0,1,"1,0",1,0,1,yes,S,0.00083213672041893,0.0008710194379091263,0.0020461156964302063,0.005345093086361885,0.0006030313670635223,0.001367880031466484,0.003984896466135979,
1state2ap0acc_07_c,2,3,yes,0,1,1,"0,1",0,1,1,yes,G,0.0008437782526016235,0.0008449424058198929,0.0021310988813638687,0.005166046321392059,0.0004367902874946594,0.0015499535948038101,0.004237983375787735,
1state2ap1acc_018,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010121148079633713,0.0012409873306751251,0.000433996319770813,,0.0006367918103933334,0.0017338898032903671,0.004055909812450409,
1state2ap1acc_018_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009771902114152908,0.0009399373084306717,0.000433996319770813,,0.0007401686161756516,0.001768115907907486,0.005187932401895523,
1state2ap1acc_022,2,4,yes,0,0,0,,0,0,0,yes,-,0.0008610077202320099,0.0010579824447631836,0.00024586915969848633,,0.0006118789315223694,0.0017951242625713348,0.004220055416226387,
1state2ap1acc_022_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0011159572750329971,0.000942964106798172,0.00028801150619983673,,0.0007471535354852676,0.0017550773918628693,0.0051960814744234085,
1state2ap1acc_024,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010728836059570312,0.0010130461305379868,0.00037509016692638397,,0.000600004568696022,0.0017480924725532532,0.004191882908344269,
1state2ap1acc_024_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009681098163127899,0.0009401701390743256,0.0003119930624961853,,0.0007420312613248825,0.0018230639398097992,0.005705980584025383,
1state2ap1acc_026,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009147915989160538,0.0010309740900993347,0.00036694109439849854,,0.00061793252825737,0.001695007085800171,0.004191882908344269,
1state2ap1acc_026_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010561197996139526,0.0010288786143064499,0.00035599805414676666,,0.000700121745467186,0.0017881393432617188,0.005414942279458046,
1state2ap1acc_030,2,3,yes,0,0,0,,0,0,0,yes,-,0.0007487833499908447,0.0008270144462585449,0.0002621673047542572,,0.0005709007382392883,0.0015471596270799637,0.0037709251046180725,
1state2ap1acc_052,2,4,yes,0,0,0,,0,0,0,yes,-,0.0008970964699983597,0.0010009389370679855,0.0003371387720108032,,0.0006190966814756393,0.0016719568520784378,0.004067085683345795,
1state2ap1acc_052_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009618233889341354,0.001027015969157219,0.00033318065106868744,,0.0007748603820800781,0.001700129359960556,0.0052370596677064896,
1state2ap1acc_060,1,3,yes,0,0,0,,0,0,0,yes,-,0.0008170027285814285,0.0007848720997571945,0.00025704503059387207,,0.0005990732461214066,0.0013380777090787888,0.0034389086067676544,
1state2ap1acc_097,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010298099368810654,0.0010409858077764511,0.0003578606992959976,,0.0006230548024177551,0.0016631092876195908,0.004256144165992737,
1state2ap1acc_097_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010100193321704865,0.0009709037840366364,0.0003869645297527313,,0.0007811468094587326,0.0016409903764724731,0.005163019523024559,
1state2ap1acc_105,2,3,yes,0,0,0,,0,0,0,yes,-,0.0008610077202320099,0.0009248033165931702,0.00024493783712387085,,0.0006011687219142914,0.0014619436115026474,0.003855908289551735,
1state2ap1acc_120,2,3,yes,0,0,0,,0,0,0,yes,-,0.0008540228009223938,0.0008349306881427765,0.00029103830456733704,,0.0005420297384262085,0.0014400575309991837,0.0038740690797567368,
1state2ap2acc_00288,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011129304766654968,0.0012379605323076248,0.000383937731385231,,0.0006889458745718002,0.0017380807548761368,0.004194909706711769,
1state2ap2acc_00288_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0013068784028291702,0.0012649688869714737,0.00041909515857696533,,0.0007741618901491165,0.0017408747225999832,0.005426118150353432,
1state2ap2acc_00292,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012400560081005096,0.001227017492055893,0.00045285560190677643,,0.000632135197520256,0.0016910489648580551,0.00451086089015007,
1state2ap2acc_00292_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.001216074451804161,0.0012249220162630081,0.0004949979484081268,,0.0007711350917816162,0.0017350539565086365,0.00571901910007,
1state2ap2acc_00300,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009648501873016357,0.000998144969344139,0.00038999132812023163,,0.0005909241735935211,0.0014808028936386108,0.00417209230363369,
1state2ap2acc_00300_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009469222277402878,0.0009599607437849045,0.00039907172322273254,,0.0005559995770454407,0.0015890691429376602,0.00503193587064743,
1state2ap2acc_00352,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011818483471870422,0.0012728851288557053,0.00033015385270118713,,0.0006230548024177551,0.0018440186977386475,0.004430068656802177,
1state2ap2acc_00352_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0013120006769895554,0.001144828274846077,0.0004309695214033127,,0.0007390044629573822,0.0017671845853328705,0.005542067810893059,
1state2ap2acc_00360,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010579824447631836,0.0010239891707897186,0.0003550667315721512,,0.0005690380930900574,0.001484062522649765,0.004142988473176956,
1state2ap2acc_00360_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009918585419654846,0.000908970832824707,0.00033387914299964905,,0.0005960464477539062,0.0016309786587953568,0.004992121830582619,
1state2ap2acc_00384,2,5,yes,0,0,0,,0,0,0,yes,-,0.001103850081562996,0.0012239906936883926,0.0002859160304069519,,0.000609084963798523,0.0016419216990470886,0.004366040229797363,
1state2ap2acc_00384_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012838281691074371,0.001217937096953392,0.0002968590706586838,,0.000760890543460846,0.0016880221664905548,0.005467096343636513,
1state2ap2acc_00386,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011119991540908813,0.0011189840734004974,0.00029103830456733704,,0.000632135197520256,0.0017059501260519028,0.004349974915385246,
1state2ap2acc_00386_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012170057743787766,0.0011241063475608826,0.00033294782042503357,,0.0007560010999441147,0.0016989652067422867,0.00571785494685173,
1state2ap2acc_00390,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010060612112283707,0.001032138243317604,0.0002859160304069519,,0.0006221234798431396,0.0015120021998882294,0.004136934876441956,
1state2ap2acc_00390_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009611248970031738,0.0009159557521343231,0.0002530869096517563,,0.0005981419235467911,0.0016191042959690094,0.004685018211603165,
1state2ap2acc_00416,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011220108717679977,0.001166015863418579,0.00036694109439849854,,0.000601867213845253,0.0017120037227869034,0.004353933036327362,
1state2ap2acc_00416_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012170057743787766,0.0011650845408439636,0.00035902485251426697,,0.0007259659469127655,0.0016959384083747864,0.005488051101565361,
1state2ap2acc_00420,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010558869689702988,0.0010111834853887558,0.0002600718289613724,,0.0006027985364198685,0.0015278346836566925,0.0038389116525650024,
1state2ap2acc_00420_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009408686310052872,0.0008670613169670105,0.0002561137080192566,,0.0005702022463083267,0.0015560071915388107,0.004519941285252571,
1state2ap2acc_00480,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009560026228427887,0.0009208451956510544,0.0002849847078323364,,0.0005660112947225571,0.001359032467007637,0.0039208680391311646,
1state2ap2acc_00480_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.001027015969157219,0.0009550713002681732,0.0002789311110973358,,0.0005220063030719757,0.0015730038285255432,0.004421919584274292,
1state2ap2acc_00960,1,4,yes,0,0,0,,0,0,0,yes,-,0.000959029421210289,0.0009399373084306717,0.00027706846594810486,,0.0005599576979875565,0.001266133040189743,0.00344286672770977,
1state2ap2acc_00960_c,1,4,yes,0,0,0,,0,0,0,yes,-,0.0009320210665464401,0.0009008217602968216,0.0002889428287744522,,0.0005459878593683243,0.0015459954738616943,0.004001893103122711,
1state2ap2acc_01680,2,4,yes,0,0,0,,0,0,0,yes,-,0.0008901115506887436,0.0009129289537668228,0.0002591405063867569,,0.0006130430847406387,0.0014810357242822647,0.0038440339267253876,
1state2ap2acc_01680_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009359791874885559,0.0009159557521343231,0.0003129243850708008,,0.0005559995770454407,0.0015220139175653458,0.004437984898686409,
1state2ap2acc_04672,2,6,yes,0,0,0,,0,0,0,yes,-,0.0012970995157957077,0.0012919772416353226,0.0003748573362827301,,0.0006218906491994858,0.0017140991985797882,0.004361150786280632,
1state2ap2acc_04672_c,2,6,yes,0,0,0,,0,0,0,yes,-,0.0014568213373422623,0.0014209654182195663,0.0004409812390804291,,0.000716187059879303,0.0016409903764724731,0.005542067810893059,
1state2ap2acc_04680,2,5,yes,0,0,0,,0,0,0,yes,-,0.001077074557542801,0.0010759104043245316,0.0003019813448190689,,0.0005390029400587082,0.0014419201761484146,0.00403192825615406,
1state2ap2acc_04680_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011699739843606949,0.00100000761449337,0.00033294782042503357,,0.0005951151251792908,0.0016409903764724731,0.004868023097515106,
1state2ap2acc_04736,2,6,yes,0,0,0,,0,0,0,yes,-,0.0012652017176151276,0.001301988959312439,0.00035902485251426697,,0.0006100162863731384,0.0015972182154655457,0.004221918061375618,
1state2ap2acc_04736_c,2,6,yes,0,0,0,,0,0,0,yes,-,0.0013881362974643707,0.0013669487088918686,0.000357162207365036,,0.0006931368261575699,0.0016670674085617065,0.0054640695452690125,
1state2ap2acc_04740,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011050142347812653,0.0011271331459283829,0.0002789311110973358,,0.000541098415851593,0.0014121178537607193,0.0039460137486457825,
1state2ap2acc_04740_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012300442904233932,0.0011061783879995346,0.0002991873770952225,,0.0005539041012525558,0.0015569385141134262,0.004666158929467201,
1state2ap2acc_04800,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011760275810956955,0.0011548399925231934,0.00023213215172290802,,0.0005559995770454407,0.0014489050954580307,0.00399397686123848,
1state2ap2acc_04800_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012230593711137772,0.001085922122001648,0.00024191103875637054,,0.000567873939871788,0.0014998950064182281,0.004631932824850082,
1state2ap2acc_05760,2,5,yes,0,0,0,,0,0,0,yes,-,0.0010600779205560684,0.0011441297829151154,0.00023702159523963928,,0.0005520414561033249,0.0013639219105243683,0.0039460137486457825,
1state2ap2acc_05760_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.001134118065237999,0.001100124791264534,0.00025494955480098724,,0.0005848705768585205,0.0016051344573497772,0.004766974598169327,
1state2ap2acc_13440,2,5,yes,0,0,0,,0,0,0,yes,-,0.0010721851140260696,0.0010638032108545303,0.00021280720829963684,,0.0005399342626333237,0.001360895112156868,0.003748806193470955,
1state2ap2acc_13440_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011848751455545425,0.0010950025171041489,0.00022887252271175385,,0.0005329493433237076,0.0015650875866413116,0.004498055204749107,
1state2ap2acc_24960,2,5,yes,0,0,0,,0,0,0,yes,-,0.001126900315284729,0.0011490192264318466,0.0002591405063867569,,0.0005559995770454407,0.0015059486031532288,0.0038868747651576996,
1state2ap2acc_24960_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011629890650510788,0.0011289957910776138,0.0002789311110973358,,0.0005420297384262085,0.0015420373529195786,0.004577916115522385,
1state2ap2acc_parity_00258,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009639188647270203,0.0009450595825910568,0.00035995617508888245,,0.0006258487701416016,0.0016998965293169022,0.0046209897845983505,
1state2ap2acc_parity_00258_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010100193321704865,0.0009320210665464401,0.00037904828786849976,,0.0007050111889839172,0.0015040859580039978,0.004416098818182945,
1state2ap2acc_parity_00262,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009099021553993225,0.0009068753570318222,0.00024097971618175507,,0.000616069883108139,0.0016810372471809387,0.004734145477414131,
1state2ap2acc_parity_00262_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009669456630945206,0.0010391231626272202,0.00027799978852272034,,0.0007380731403827667,0.0015469267964363098,0.004150904715061188,
1state2ap2acc_parity_00264,2,4,yes,0,0,0,,0,0,0,yes,-,0.0008919741958379745,0.0009920913726091385,0.00030081719160079956,,0.0006097834557294846,0.0017150305211544037,0.004504108801484108,
1state2ap2acc_parity_00264_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.001043081283569336,0.0009478535503149033,0.0004079192876815796,,0.0007790513336658478,0.0014791730791330338,0.004234956577420235,
1state2ap2acc_parity_00266,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009010545909404755,0.0009739305824041367,0.00033387914299964905,,0.0006279442459344864,0.0017469283193349838,0.004539033398032188,
1state2ap2acc_parity_00266_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0010440126061439514,0.0009869690984487534,0.0003471504896879196,,0.0007529743015766144,0.001461012288928032,0.004139961674809456,
1state2ap2acc_parity_00270,2,3,yes,0,0,0,,0,0,0,yes,-,0.0007690396159887314,0.0007869675755500793,0.00023399479687213898,,0.0005899928510189056,0.0015499535948038101,0.004389090463519096,
1state2ap2acc_parity_00772,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009040813893079758,0.0009050127118825912,0.00033387914299964905,,0.0005729962140321732,0.0016700942069292068,0.00475812703371048,
1state2ap2acc_parity_00772_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009550713002681732,0.0010200310498476028,0.0003478489816188812,,0.0007220078259706497,0.0014659017324447632,0.004281057044863701,
1state2ap2acc_parity_00780,1,3,yes,0,0,0,,0,0,0,yes,-,0.0007229391485452652,0.000809086486697197,0.0002300366759300232,,0.000541098415851593,0.0014419201761484146,0.003903871402144432,
1state2ap2acc_parity_01537,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009669456630945206,0.0010069925338029861,0.0003159511834383011,,0.0006211921572685242,0.001744832843542099,0.0047979410737752914,
1state2ap2acc_parity_01537_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009529758244752884,0.0009781215339899063,0.0003711320459842682,,0.0007641501724720001,0.001484062522649765,0.004201894626021385,
1state2ap2acc_parity_01545,2,3,yes,0,0,0,,0,0,0,yes,-,0.0007720664143562317,0.0007359776645898819,0.00024796463549137115,,0.0005739275366067886,0.0015958212316036224,0.004437984898686409,
1state2ap2acc_parity_01800,2,3,yes,0,0,0,,0,0,0,yes,-,0.0007939524948596954,0.000783940777182579,0.000308966264128685,,0.0005869660526514053,0.001491047441959381,0.0042191240936517715,
1state2ap2acc_parity_04612,2,5,yes,0,0,0,,0,0,0,yes,-,0.0010838266462087631,0.0011890660971403122,0.0004209578037261963,,0.0007599592208862305,0.002002110704779625,0.00458303838968277,
1state2ap2acc_parity_04612_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012130476534366608,0.001123175024986267,0.00041211023926734924,,0.0009019859135150909,0.0018549617379903793,0.004708068445324898,
1state2ap2acc_parity_04616,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011550728231668472,0.0011401716619729996,0.00025797635316848755,,0.0006901100277900696,0.0020419247448444366,0.004376983270049095,
1state2ap2acc_parity_04616_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012300442904233932,0.0010989606380462646,0.0002989545464515686,,0.0009210780262947083,0.001834006980061531,0.004714122042059898,
1state2ap2acc_parity_04620,2,4,yes,0,0,0,,0,0,0,yes,-,0.001050066202878952,0.0010009389370679855,0.00028102658689022064,,0.0007140915840864182,0.0017450656741857529,0.0041709281504154205,
1state2ap2acc_parity_04620_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009748619049787521,0.0009709037840366364,0.000266125425696373,,0.0006430782377719879,0.0017960555851459503,0.004120171070098877,
1state2ap2acc_parity_05640,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009729992598295212,0.0009329523891210556,0.0002400483936071396,,0.0006670597940683365,0.001869862899184227,0.004073139280080795,
1state2ap2acc_parity_05640_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.000942964106798172,0.0009450595825910568,0.00028405338525772095,,0.0006977934390306473,0.0017778947949409485,0.004228902980685234,
1state2ap2acc_parity_06146,2,5,yes,0,0,0,,0,0,0,yes,-,0.001009088009595871,0.0011189840734004974,0.0003450550138950348,,0.0007259659469127655,0.0019259750843048096,0.004626810550689697,
1state2ap2acc_parity_06146_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0011548399925231934,0.001100124791264534,0.0003320164978504181,,0.0008521601557731628,0.0018549617379903793,0.004843808710575104,
1state2ap2acc_parity_06150,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009690411388874054,0.0009920913726091385,0.00023492611944675446,,0.0006249174475669861,0.0017958227545022964,0.004108063876628876,
1state2ap2acc_parity_06150_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.000942964106798172,0.0009718351066112518,0.0002430751919746399,,0.0006631016731262207,0.0017290003597736359,0.004227971658110619,
1state2ap2acc_parity_06660,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009699724614620209,0.0009830109775066376,0.0002069864422082901,,0.0006870832294225693,0.0018079299479722977,0.004262896254658699,
1state2ap2acc_parity_06660_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.000976957380771637,0.000918051227927208,0.0002461019903421402,,0.000667991116642952,0.0017802231013774872,0.004115980118513107,
1state2ap2acc_parity_13320,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009262003004550934,0.0009310897439718246,0.0003080349415540695,,0.0006610061973333359,0.0017508864402770996,0.0040780287235975266,
1state2ap2acc_parity_13320_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009939540177583694,0.000942964106798172,0.00037206336855888367,,0.0006940681487321854,0.0018291175365447998,0.004143919795751572,
1state2ap2acc_parity_24840,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009499490261077881,0.000918051227927208,0.0002891756594181061,,0.0006200280040502548,0.0017120037227869034,0.004100147634744644,
1state2ap2acc_parity_24840_c,2,4,yes,0,0,0,,0,0,0,yes,-,0.0009529758244752884,0.0009650830179452896,0.00031408853828907013,,0.0006800983101129532,0.0017641577869653702,0.00413903035223484,
1state2ap3acc_parity_0178405888,2,5,yes,0,0,0,,0,0,0,yes,-,0.0010989606380462646,0.0011478550732135773,0.0004139728844165802,,0.0006919726729393005,0.0020300503820180893,0.004539964720606804,
1state2ap3acc_parity_0178405888_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0013639219105243683,0.0012111850082874298,0.0004551839083433151,,0.0008910428732633591,0.0017690472304821014,0.004684086889028549,
1state2ap3acc_parity_0427841672,2,5,yes,0,0,0,,0,0,0,yes,-,0.001077074557542801,0.0011641532182693481,0.0003189779818058014,,0.0007168855518102646,0.0020279549062252045,0.0046030618250370026,
1state2ap3acc_parity_0427841672_c,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012810342013835907,0.0011490192264318466,0.0003050081431865692,,0.0008570495992898941,0.0018379651010036469,0.004915054887533188,
1state2ap3acc_parity_2750423057,2,5,yes,0,0,0,,0,0,0,yes,-,0.0010479707270860672,0.0011739321053028107,0.0003520399332046509,,0.000800006091594696,0.002044951543211937,0.004908069968223572,
1state2ap3acc_parity_2792358400,2,5,yes,0,0,0,,0,0,0,yes,-,0.0012400560081005096,0.0011560041457414627,0.0003490131348371506,,0.0007499475032091141,0.0020079314708709717,0.004883855581283569,
1state2ap3acc_parity_3796408320,2,5,yes,0,0,0,,0,0,0,yes,-,0.0010670628398656845,0.0011860392987728119,0.0003180466592311859,,0.000741099938750267,0.0019918661564588547,0.0047050416469573975,
1state3ap0acc_001,3,3,yes,1,0,1,"1,0",1,0,1,yes,S,0.000742962583899498,0.0007748603820800781,0.002458924427628517,0.0059800222516059875,0.000616069883108139,0.0015301629900932312,0.004425877705216408,
1state3ap0acc_001_c,3,3,yes,0,1,1,"0,1",0,1,1,yes,G,0.0007878988981246948,0.0008780043572187424,0.0023008324205875397,0.005817040801048279,0.00040302984416484833,0.0016491394490003586,0.004430068656802177,
1state3ap0acc_003,2,3,yes,1,0,1,"1,0",1,0,1,yes,S,0.0008861534297466278,0.0009480863809585571,0.002100132405757904,0.005193985998630524,0.0005981419235467911,0.0014370307326316833,0.0039620790630578995,
1state3ap0acc_003_c,2,3,yes,0,1,1,"0,1",0,1,1,yes,G,0.0008819624781608582,0.0008381903171539307,0.00202888622879982,0.005231006070971489,0.000401865690946579,0.0014789402484893799,0.004093162715435028,
1state3ap0acc_006,3,3,yes,1,0,1,"1,0",1,0,1,yes,S,0.0008859205991029739,0.0008810311555862427,0.0022139865905046463,0.005963025614619255,0.0005851034075021744,0.001718057319521904,0.004399102181196213,
1state3ap0acc_006_c,3,3,yes,0,1,1,"0,1",0,1,1,yes,G,0.0008419156074523926,0.000983942300081253,0.0023078173398971558,0.0062820035964250565,0.00040116719901561737,0.0016400590538978577,0.004587927833199501,
