case_id,config_id,seed,ap_count,ref_classes,learned_classes,n_member_total,n_member_fill,n_member_harvest,n_member_saturation,n_member_pcache,n_equiv,n_splits,n_columns_lin,n_columns_om,n_saturation_checks,n_saturation_escalations,n_classes_initial,stall_class,n_guard_firings,guard_fired_final,cex_policy,max_cex_stem,max_cex_loop,max_query_word_len,eq_certification,export_associative,fixpoint_congruent,wall_seconds,verdict,detail
gf_aa_parity,cex-minimal,0,1,6,6,31,22,3,1,5,2,4,0,4,5,2,2,,-1,-1,minimal,0,3,5,exact,true,true,0.002,SOUND,
even,cex-minimal,0,1,5,5,25,17,4,1,3,2,3,3,0,4,1,2,,-1,-1,minimal,0,3,3,exact,true,true,0.001,SOUND,
evenblocks,cex-minimal,0,1,8,8,44,34,3,2,5,2,6,0,4,5,2,2,,-1,-1,minimal,0,3,6,exact,true,true,0.001,SOUND,
a_once,cex-minimal,0,1,4,4,10,7,1,1,1,2,2,2,0,3,1,2,,-1,-1,minimal,1,1,4,exact,true,true,0.001,SOUND,
gf_aa_parity,cex-first,0,1,6,6,31,22,3,1,5,2,4,0,4,5,2,2,,-1,-1,first,0,3,5,exact,true,true,0.001,SOUND,
even,cex-first,0,1,5,5,25,17,4,1,3,2,3,3,0,4,1,2,,-1,-1,first,0,3,3,exact,true,true,0.001,SOUND,
evenblocks,cex-first,0,1,8,8,44,34,3,2,5,2,6,0,4,5,2,2,,-1,-1,first,0,3,6,exact,true,true,0.001,SOUND,
a_once,cex-first,0,1,4,4,10,7,1,1,1,2,2,2,0,3,1,2,,-1,-1,first,1,1,4,exact,true,true,0.001,SOUND,
gf_aa_parity,cex-padded:2,0,1,6,6,31,21,4,1,5,2,4,0,4,5,2,2,,-1,-1,padded:2,3,6,5,exact,true,true,0.001,SOUND,
even,cex-padded:2,0,1,5,5,25,17,4,1,3,2,3,3,0,4,1,2,,-1,-1,padded:2,3,6,3,exact,true,true,0.001,SOUND,
evenblocks,cex-padded:2,0,1,8,8,47,36,5,1,5,2,6,0,4,5,2,2,,-1,-1,padded:2,3,6,7,exact,true,true,0.001,SOUND,
a_once,cex-padded:2,0,1,4,4,10,7,1,1,1,2,2,2,0,3,1,2,,-1,-1,padded:2,2,2,4,exact,true,true,0.001,SOUND,
gf_aa_parity,cex-padded:4,0,1,6,6,32,21,5,1,5,2,4,0,4,5,2,2,,-1,-1,padded:4,9,12,7,exact,true,true,0.001,SOUND,
even,cex-padded:4,0,1,5,5,25,17,4,1,3,2,3,3,0,4,1,2,,-1,-1,padded:4,9,12,3,exact,true,true,0.001,SOUND,
evenblocks,cex-padded:4,0,1,8,8,48,36,6,1,5,2,6,0,4,5,2,2,,-1,-1,padded:4,9,12,13,exact,true,true,0.001,SOUND,
a_once,cex-padded:4,0,1,4,4,10,7,1,1,1,2,2,2,0,3,1,2,,-1,-1,padded:4,4,4,4,exact,true,true,0.001,SOUND,
gf_aa_parity,cex-padded:8,0,1,6,6,33,21,6,1,5,2,4,0,4,5,2,2,,-1,-1,padded:8,21,24,13,exact,true,true,0.001,SOUND,
even,cex-padded:8,0,1,5,5,25,17,4,1,3,2,3,3,0,4,1,2,,-1,-1,padded:8,21,24,3,exact,true,true,0.001,SOUND,
evenblocks,cex-padded:8,0,1,8,8,49,36,7,1,5,2,6,0,4,5,2,2,,-1,-1,padded:8,21,24,25,exact,true,true,0.001,SOUND,
a_once,cex-padded:8,0,1,4,4,10,7,1,1,1,2,2,2,0,3,1,2,,-1,-1,padded:8,8,8,4,exact,true,true,0.001,SOUND,
gf_aa_parity,cex-padded:16,0,1,6,6,34,21,7,1,5,2,4,0,4,5,2,2,,-1,-1,padded:16,45,48,25,exact,true,true,0.001,SOUND,
even,cex-padded:16,0,1,5,5,25,17,4,1,3,2,3,3,0,4,1,2,,-1,-1,padded:16,45,48,3,exact,true,true,0.001,SOUND,
evenblocks,cex-padded:16,0,1,8,8,50,36,8,1,5,2,6,0,4,5,2,2,,-1,-1,padded:16,45,48,49,exact,true,true,0.002,SOUND,
a_once,cex-padded:16,0,1,4,4,10,7,1,1,1,2,2,2,0,3,1,2,,-1,-1,padded:16,16,16,4,exact,true,true,0.001,SOUND,
gf_aa_parity,cex-padded:32,0,1,6,6,35,21,8,1,5,2,4,0,4,5,2,2,,-1,-1,padded:32,93,96,49,exact,true,true,0.001,SOUND,
even,cex-padded:32,0,1,5,5,25,17,4,1,3,2,3,3,0,4,1,2,,-1,-1,padded:32,93,96,3,exact,true,true,0.002,SOUND,
evenblocks,cex-padded:32,0,1,8,8,51,36,9,1,5,2,6,0,4,5,2,2,,-1,-1,padded:32,93,96,97,exact,true,true,0.002,SOUND,
a_once,cex-padded:32,0,1,4,4,10,7,1,1,1,2,2,2,0,3,1,2,,-1,-1,padded:32,32,32,4,exact,true,true,0.001,SOUND,
