id,layer,nC,R,sigma,aperiodic,c3_status,result,pass_k,k0,k1,k2,k3,collectedF,max_states,absorption,group,other,other_split,bug,time_s
2state2ap2acc_parity_13374962817146464785,1,11,2,3,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13374962817146464785,3,11,2,3,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13374962817146464785,4,11,2,3,1,UNDECIDED,C@0,0,P,-,-,-,12,19,0,0,0,0,0,0.00
2state2ap2acc_parity_13374962817146464785,5,11,2,3,1,UNDECIDED,C@0,0,P,-,-,-,12,19,0,0,0,0,0,0.00
2state2ap2acc_parity_13374962817146464785_c,1,11,2,3,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13374962817146464785_c,3,11,2,3,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13374962817146464785_c,4,11,2,3,1,UNDECIDED,C@0,0,P,-,-,-,12,19,0,0,0,0,0,0.00
2state2ap2acc_parity_13374962817146464785_c,5,11,2,3,1,UNDECIDED,C@0,0,P,-,-,-,12,19,0,0,0,0,0,0.00
2state2ap2acc_parity_13848135222201485089,4,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
2state2ap2acc_parity_13848135222201485089,5,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
2state2ap2acc_parity_13848135222201485089,6,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
2state2ap2acc_parity_13848135222201485089,7,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,601,1607,0,0,0,0,0,0.37
2state2ap2acc_parity_13848135222201485089,8,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,601,1607,0,0,0,0,0,0.35
2state2ap2acc_parity_13848135222201485089,9,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,601,1607,0,0,0,0,0,0.35
2state2ap2acc_parity_13848135222201485089_c,4,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.00
2state2ap2acc_parity_13848135222201485089_c,5,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.00
2state2ap2acc_parity_13848135222201485089_c,6,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.00
2state2ap2acc_parity_13848135222201485089_c,7,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,601,1607,0,0,0,0,0,0.20
2state2ap2acc_parity_13848135222201485089_c,8,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,601,1607,0,0,0,0,0,0.19
2state2ap2acc_parity_13848135222201485089_c,9,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,601,1607,0,0,0,0,0,0.19
2state2ap2acc_parity_13872042487650145799,4,32,4,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
2state2ap2acc_parity_13872042487650145799,5,32,4,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
2state2ap2acc_parity_13872042487650145799,7,32,4,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
2state2ap2acc_parity_13872042487650145799,8,32,4,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
2state2ap2acc_parity_13872042487650145799_c,4,32,4,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
2state2ap2acc_parity_13872042487650145799_c,5,32,4,4,1,UNDECIDED,C@0,0,P,-,-,-,30,47,0,0,0,0,0,0.01
