id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
3state2ap2acc_parity_01671872368947369295779274718125672666768101,8,0,98,2,4,1,CLEAN,30,,,,,0.00
3state2ap2acc_parity_01671872368947369295779274718125672666768101,11,0,98,2,4,1,CLEAN,30,,,,,0.00
3state2ap2acc_parity_01671872368947369295779274718125672666768101,13,0,98,6,4,1,BUDGET,1000000,,,,,12.96
3state2ap2acc_parity_01671872368947369295779274718125672666768101,15,0,98,6,4,1,BUDGET,1000000,,,,,19.05
3state2ap2acc_parity_01671872368947369295779274718125672666768101,16,0,98,6,4,1,BUDGET,1000000,,,,,11.96
3state2ap2acc_parity_01671872368947369295779274718125672666768101,17,0,98,6,4,1,BUDGET,1000000,,,,,16.12
3state2ap2acc_parity_01671872368947369295779274718125672666768101,19,0,98,6,4,1,BUDGET,1000000,,,,,18.31
3state2ap2acc_parity_01671872368947369295779274718125672666768101,20,0,98,6,4,1,BUDGET,1000000,,,,,14.05
3state2ap2acc_parity_01671872368947369295779274718125672666768101_c,13,0,98,6,4,1,BUDGET,1000000,,,,,16.29
3state2ap2acc_parity_01671872368947369295779274718125672666768101_c,15,0,98,6,4,1,BUDGET,1000000,,,,,16.25
2state2ap2acc_parity_01477560257961134322,7,0,19,3,4,1,CONFLICT,1360,3,1,0,1,0.01
3state2ap2acc_parity_01671872368947369295779274718125672666768101_c,16,0,98,6,4,1,BUDGET,1000000,,,,,12.79
3state2ap2acc_parity_01671872368947369295779274718125672666768101_c,17,0,98,6,4,1,BUDGET,1000000,,,,,14.19
3state2ap2acc_parity_01671872368947369295779274718125672666768101_c,19,0,98,6,4,1,BUDGET,1000000,,,,,16.51
3state2ap2acc_parity_01671872368947369295779274718125672666768101_c,20,0,98,6,4,1,BUDGET,1000000,,,,,11.93
3state2ap2acc_parity_01720501768376648220522346237786278750158863,17,0,92,5,4,0,BUDGET,1000000,,,,,12.46
3state2ap2acc_parity_01720501768376648220522346237786278750158863,18,0,92,4,4,0,CLEAN,224,,,,,0.00
3state2ap2acc_parity_01720501768376648220522346237786278750158863,21,0,92,4,4,0,CLEAN,224,,,,,0.00
3state2ap2acc_parity_01720501768376648220522346237786278750158863,22,0,92,5,4,0,BUDGET,1000000,,,,,15.09
3state2ap2acc_parity_01720501768376648220522346237786278750158863,24,0,92,5,4,0,BUDGET,1000000,,,,,14.39
3state2ap2acc_parity_01720501768376648220522346237786278750158863,25,0,92,5,4,0,BUDGET,1000000,,,,,18.22
2state2ap2acc_parity_01477560257961134322_c,4,0,19,3,4,1,CONFLICT,28,3,1,0,1,0.00
3state2ap2acc_parity_01720501768376648220522346237786278750158863,26,0,92,5,4,0,BUDGET,1000000,,,,,14.42
3state2ap2acc_parity_01720501768376648220522346237786278750158863_c,17,0,92,5,4,0,BUDGET,1000000,,,,,18.53
3state2ap2acc_parity_01720501768376648220522346237786278750158863_c,18,0,92,4,4,0,CLEAN,224,,,,,0.00
3state2ap2acc_parity_01720501768376648220522346237786278750158863_c,21,0,92,4,4,0,CLEAN,224,,,,,0.00
3state2ap2acc_parity_01720501768376648220522346237786278750158863_c,22,0,92,5,4,0,BUDGET,1000000,,,,,18.58
3state2ap2acc_parity_01720501768376648220522346237786278750158863_c,24,0,92,5,4,0,BUDGET,1000000,,,,,19.70
3state2ap2acc_parity_01720501768376648220522346237786278750158863_c,25,0,92,5,4,0,BUDGET,1000000,,,,,18.47
3state2ap2acc_parity_01720501768376648220522346237786278750158863_c,26,0,92,5,4,0,BUDGET,1000000,,,,,14.90
3state2ap2acc_parity_01780485004139890192805854219217070000489011,14,0,75,5,4,1,CONFLICT,1269,6,1,0,1,0.01
3state2ap2acc_parity_01780485004139890192805854219217070000489011,15,0,75,5,4,1,CONFLICT,2578,6,1,0,1,0.02
2state2ap2acc_parity_01477560257961134322_c,5,0,19,2,4,1,CLEAN,26,,,,,0.00
3state2ap2acc_parity_01780485004139890192805854219217070000489011,17,0,75,6,4,1,CLEAN,9504,,,,,0.03
3state2ap2acc_parity_01780485004139890192805854219217070000489011,18,0,75,5,4,1,CONFLICT,1565,6,1,0,1,0.01
3state2ap2acc_parity_01780485004139890192805854219217070000489011,19,0,75,5,4,1,CONFLICT,1807,6,1,0,1,0.02
3state2ap2acc_parity_01780485004139890192805854219217070000489011,20,0,75,5,4,1,CONFLICT,1637,6,1,0,1,0.01
3state2ap2acc_parity_01780485004139890192805854219217070000489011_c,14,0,75,5,4,1,CONFLICT,1269,6,1,0,1,0.01
3state2ap2acc_parity_01780485004139890192805854219217070000489011_c,15,0,75,5,4,1,CONFLICT,2578,6,1,0,1,0.02
3state2ap2acc_parity_01780485004139890192805854219217070000489011_c,17,0,75,6,4,1,CLEAN,9504,,,,,0.03
3state2ap2acc_parity_01780485004139890192805854219217070000489011_c,18,0,75,5,4,1,CONFLICT,1565,6,1,0,1,0.01
3state2ap2acc_parity_01780485004139890192805854219217070000489011_c,19,0,75,5,4,1,CONFLICT,1807,6,1,0,1,0.01
3state2ap2acc_parity_01780485004139890192805854219217070000489011_c,20,0,75,5,4,1,CONFLICT,1637,6,1,0,1,0.01
2state2ap2acc_parity_01477560257961134322_c,6,0,19,3,4,1,CONFLICT,2719,3,1,0,1,0.01
3state2ap2acc_parity_01882577360520724447432709876614656759138641,14,0,46,4,4,1,CLEAN,561760,,,,,3.90
3state2ap2acc_parity_01985090630845204495123435068128232802931454,7,0,14,1,3,1,CONFLICT,11,2,1,0,1,0.00
3state2ap2acc_parity_01985090630845204495123435068128232802931454_c,7,0,14,1,3,1,CONFLICT,11,2,1,0,1,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562,8,0,49,5,4,0,CONFLICT,78,4,1,0,1,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562,10,0,49,5,4,0,CONFLICT,74,4,1,0,1,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562,12,0,49,5,4,0,CONFLICT,484279,4,1,0,1,5.73
3state2ap2acc_parity_02791127200709611081342718726845015122588562,13,0,49,3,4,0,CLEAN,408,,,,,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562,14,0,49,5,4,0,CONFLICT,72,4,1,0,1,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562_c,8,0,49,5,4,0,CONFLICT,78,4,1,0,1,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562_c,10,0,49,5,4,0,CONFLICT,74,4,1,0,1,0.00
2state2ap2acc_parity_01477560257961134322_c,7,0,19,3,4,1,CONFLICT,1360,3,1,0,1,0.01
