id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
3state2ap2acc_parity_00235886993773694390966782803867390819255335,17,1,48,4,4,1,BUDGET,1000000,,,,,7.46
3state2ap2acc_parity_00235886993773694390966782803867390819255335,18,1,48,4,4,1,BUDGET,1000000,,,,,14.90
3state2ap2acc_parity_00235886993773694390966782803867390819255335_c,9,1,48,4,4,1,BUDGET,1000000,,,,,10.55
3state2ap2acc_parity_00235886993773694390966782803867390819255335_c,12,1,48,4,4,1,BUDGET,1000000,,,,,10.12
3state2ap2acc_parity_00235886993773694390966782803867390819255335_c,15,1,48,4,4,1,BUDGET,1000000,,,,,10.92
3state2ap2acc_parity_00235886993773694390966782803867390819255335_c,17,1,48,4,4,1,BUDGET,1000000,,,,,11.02
3state2ap2acc_parity_00235886993773694390966782803867390819255335_c,18,1,48,4,4,1,BUDGET,1000000,,,,,15.19
2state2ap2acc_parity_01378938908794225103,13,1,35,3,4,0,BUDGET,1000000,,,,,13.13
2state2ap2acc_parity_01378938908794225103_c,10,1,35,3,4,0,BUDGET,1000000,,,,,14.00
2state2ap2acc_parity_01378938908794225103_c,12,1,35,3,4,0,BUDGET,1000000,,,,,10.34
3state2ap2acc_parity_04917647114524496931224437016019392458668227_c,4,1,31,4,4,1,BUDGET,1000000,,,,,10.46
2state2ap2acc_parity_01378938908794225103_c,13,1,35,3,4,0,BUDGET,1000000,,,,,12.25
3state2ap2acc_parity_01399956150770801415396174150794894962825269,13,1,106,6,4,0,BUDGET,1000000,,,,,10.00
2state2ap2acc_parity_01477560257961134322,4,1,19,3,4,1,BUDGET,1000000,,,,,14.25
3state2ap2acc_parity_01399956150770801415396174150794894962825269,21,1,106,6,4,0,BUDGET,1000000,,,,,11.79
3state2ap2acc_parity_01399956150770801415396174150794894962825269,26,1,106,6,4,0,BUDGET,1000000,,,,,14.18
3state2ap2acc_parity_01399956150770801415396174150794894962825269_c,13,1,106,6,4,0,BUDGET,1000000,,,,,14.66
3state2ap2acc_parity_01399956150770801415396174150794894962825269_c,21,1,106,6,4,0,BUDGET,1000000,,,,,9.08
3state2ap2acc_parity_01399956150770801415396174150794894962825269_c,26,1,106,6,4,0,BUDGET,1000000,,,,,10.18
3state2ap2acc_parity_01407818782812616486848251275154798554567094,5,1,9,1,4,1,CLEAN,560880,,,,,7.12
3state2ap2acc_parity_01407818782812616486848251275154798554567094_c,5,1,9,1,4,1,CLEAN,560880,,,,,7.86
3state2ap2acc_parity_04917647114524496931224437016019392458668227_c,5,1,31,2,4,1,CLEAN,146,,,,,0.00
2state2ap2acc_parity_01477560257961134322,6,1,19,3,4,1,BUDGET,1000000,,,,,11.61
2state2ap1acc_parity_0898814024_c,7,1,16,1,4,1,CLEAN,906162,,,,,11.47
3state2ap2acc_parity_04917647114524496931224437016019392458668227_c,6,1,31,4,4,1,BUDGET,1000000,,,,,10.43
3state2ap2acc_parity_04917647114524496931224437016019392458668227_c,7,1,31,4,4,1,BUDGET,1000000,,,,,15.30
