id,k,R,frozen,has_anchors,terminal,pfxind,side,n_multi,n_acc
1state1ap0acc_0,0,1,1,1,1,1,none(<2cls),0,0
1state1ap0acc_1,0,1,1,1,1,0,none(<2cls),0,0
1state1ap0acc_3,0,1,1,1,1,1,none(<2cls),0,0
1state1ap1acc_06,0,1,1,1,1,1,none(<2cls),0,0
1state1ap2acc_024,0,1,1,1,1,1,none(<2cls),0,0
1state1ap2acc_parity_018,0,1,1,1,1,1,none(<2cls),0,0
1state2ap0acc_01,0,1,1,1,1,0,none(<2cls),0,0
1state2ap0acc_01_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap0acc_03,0,1,1,1,1,0,none(<2cls),0,0
1state2ap0acc_03_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap0acc_06,0,1,1,1,1,0,none(<2cls),0,0
1state2ap0acc_06_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap0acc_07,0,1,1,1,1,0,none(<2cls),0,0
1state2ap0acc_07_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_018,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_018_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_022,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_022_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_024,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_024_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_026,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_026_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_030,0,1,1,1,1,1,none(<2cls),0,0
1state2ap1acc_052,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_052_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_060,0,1,1,1,1,1,none(<2cls),0,0
1state2ap1acc_097,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_097_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap1acc_105,0,1,1,1,1,1,none(<2cls),0,0
1state2ap1acc_120,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_00288,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_00288_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_00292,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_00292_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_00300,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_00300_c,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_00352,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_00352_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_00360,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_00360_c,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_00384,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_00384_c,0,1,1,1,1,0,none(<2cls),0,0
