case_id,config_id,seed,ap_count,ref_classes,learned_classes,n_member_total,n_member_fill,n_member_harvest,n_member_saturation,n_member_pcache,n_equiv,n_splits,n_columns_lin,n_columns_om,n_saturation_checks,n_saturation_escalations,n_classes_initial,stall_class,n_guard_firings,guard_fired_final,cex_policy,max_cex_stem,max_cex_loop,max_query_word_len,eq_certification,export_associative,fixpoint_congruent,wall_seconds,verdict,detail
1state1ap0acc_0,default,0,0,2,2,1,1,0,0,0,1,0,0,0,1,0,2,,-1,-1,minimal,0,0,1,exact,true,true,0.000,SOUND,
1state1ap0acc_1,default,0,1,3,3,5,4,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state1ap0acc_3,default,0,0,2,2,1,1,0,0,0,1,0,0,0,1,0,2,,-1,-1,minimal,0,0,1,exact,true,true,0.000,SOUND,
1state1ap1acc_06,default,0,1,3,3,5,4,1,0,0,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state1ap2acc_024,default,0,1,4,4,11,8,2,0,1,2,2,0,2,3,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state1ap2acc_parity_018,default,0,1,3,3,5,4,1,0,0,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap0acc_01,default,0,2,3,3,13,12,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap0acc_01_c,default,0,2,3,3,13,12,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap0acc_03,default,0,1,3,3,5,4,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap0acc_03_c,default,0,1,3,3,5,4,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap0acc_06,default,0,2,3,3,13,12,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap0acc_06_c,default,0,2,3,3,13,12,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap0acc_07,default,0,2,3,3,14,12,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap0acc_07_c,default,0,2,3,3,14,12,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_018,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap1acc_018_c,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap1acc_022,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap1acc_022_c,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap1acc_024,default,0,2,4,4,29,26,2,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_024_c,default,0,2,4,4,29,26,2,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_026,default,0,2,4,4,29,26,2,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_026_c,default,0,2,4,4,29,26,2,0,1,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_030,default,0,2,3,3,13,12,1,0,0,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_052,default,0,2,4,4,29,26,1,0,2,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_052_c,default,0,2,4,4,29,26,1,0,2,1,2,1,1,3,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_060,default,0,1,3,3,5,4,1,0,0,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_097,default,0,2,4,4,30,26,1,0,3,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap1acc_097_c,default,0,2,4,4,30,26,1,0,3,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap1acc_105,default,0,2,3,3,13,12,1,0,0,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap1acc_120,default,0,2,3,3,14,12,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_00288,default,0,2,5,5,50,44,2,0,4,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,5,exact,true,true,0.001,SOUND,
1state2ap2acc_00288_c,default,0,2,5,5,50,44,2,0,4,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,5,exact,true,true,0.001,SOUND,
