pop,neg_phi,k,aps,n_phi,n_k,prod_n,linked,bits,settles,refutes,ms,note
fwd,1state1ap0acc_3,1state1ap0acc_0,0,2,2,2,1,1,1,1,0.8,
fwd,3state1ap0acc_026684,3state1ap0acc_025264_c,1,45,65,350,5076,171,0,0,5846.7,
fwd,3state1ap0acc_090184,3state1ap0acc_072710_c,1,13,77,95,445,34,0,0,84.5,
fwd,3state1ap0acc_004772_c,3state1ap0acc_021920_c,1,15,31,86,421,15,0,0,110.4,
fwd,3state1ap0acc_080964,3state1ap0acc_024912,1,51,30,88,435,49,0,1,150.1,
fwd,3state1ap0acc_005148,3state1ap0acc_074472,1,30,58,85,475,19,0,0,95.7,
fwd,2state1ap2acc_parity_0138758442,4state1ap2acc_parity_002914461322280394910983122525890915648,1,8,20,42,113,13,0,0,11.2,
fwd,3state1ap0acc_070056_c,2state1ap2acc_parity_0004496645,1,9,22,35,138,40,0,1,21.3,
fwd,3state1ap0acc_078488,3state1ap0acc_004664,1,32,14,56,202,32,0,1,46.6,
fwd,3state1ap0acc_075820_c,4state1ap1acc_parity_16190721614078576674,1,71,8,92,416,5,0,0,115.8,
fwd,3state1ap0acc_080393_c,3state1ap0acc_070260_c,1,38,58,246,3455,49,0,0,2198.6,
fwd,3state1ap1acc_38522602760,2state1ap2acc_parity_0002234960,1,34,10,80,318,59,0,0,72.6,
fwd,3state1ap0acc_008292_c,3state1ap0acc_021108,1,15,47,98,427,35,0,1,232.3,
fwd,3state1ap1acc_10818159298_c,3state1ap1acc_22079178886,1,25,6,34,52,1,0,0,2.1,
fwd,2state1ap2acc_parity_0352460833_c,3state1ap0acc_070788_c,1,6,30,37,113,7,0,0,19.9,
fwd,2state1ap2acc_parity_0008557064,3state1ap0acc_025109_c,1,17,13,36,82,6,0,0,4.8,
fwd,3state1ap0acc_029966_c,3state1ap0acc_078948,1,42,11,74,726,17,0,0,209.6,
fwd,3state1ap0acc_074388_c,3state1ap1acc_00265838612_c,1,21,8,29,161,7,0,0,19.7,
fwd,4state1ap1acc_parity_04925124450998633873_c,3state1ap0acc_013356_c,1,7,25,49,111,15,0,0,12.9,
fwd,3state1ap0acc_075285_c,3state1ap0acc_076317,1,32,26,83,512,21,0,0,213.4,
fwd,2state1ap2acc_parity_0574882177,3state1ap0acc_073868_c,1,4,14,21,30,8,0,0,1.9,
fwd,2state1ap0acc_053,3state1ap0acc_004504_c,1,9,21,58,163,14,0,0,16.3,
fwd,3state1ap0acc_012552,4state1ap2acc_parity_189888352042736996057462590870753750530,1,7,20,30,60,14,1,0,6.1,
fwd,2state1ap2acc_parity_0094315016,3state1ap1acc_10821896874_c,1,15,10,25,93,25,0,0,9.2,
fwd,3state1ap1acc_01112278057_c,2state1ap2acc_parity_0004552970_c,1,8,9,20,30,7,0,0,1.8,
fwd,2state1ap2acc_parity_0039407872,3state1ap0acc_024916_c,1,5,20,27,125,7,0,0,7.0,
fwd,3state1ap1acc_18673175256,3state1ap1acc_parity_08657112224,1,10,15,35,86,12,0,0,15.6,
fwd,3state1ap0acc_012366,3state1ap0acc_092174,1,8,55,94,701,20,0,0,275.0,
fwd,3state1ap0acc_013676,3state1ap2acc_parity_0202938255164409266256_c,1,17,12,35,197,37,0,0,35.5,
fwd,3state1ap0acc_007198_c,3state1ap0acc_080004_c,1,50,27,104,729,12,0,0,251.4,
fwd,3state1ap0acc_004741,3state1ap0acc_024802,1,5,20,22,81,8,0,0,7.6,
fwd,3state1ap0acc_025632,3state1ap0acc_073993,1,15,5,28,39,14,0,0,4.4,
fwd,3state1ap0acc_025625,3state1ap0acc_071308_c,1,19,46,118,662,22,0,0,138.9,
fwd,2state1ap2acc_parity_0541081603,3state1ap0acc_073800_c,1,13,12,28,28,2,0,0,3.1,
fwd,3state1ap1acc_22364973222,3state1ap0acc_005254,1,6,14,19,45,8,0,0,4.8,
fwd,3state1ap0acc_030120,2state1ap0acc_106_c,1,12,12,31,172,10,0,0,23.1,
fwd,3state1ap0acc_075333_c,3state1ap0acc_023089,1,46,32,165,1761,75,0,0,798.0,
fwd,3state1ap1acc_18420848649_c,3state1ap0acc_075796,1,8,21,32,62,11,1,0,6.8,
fwd,2state1ap1acc_06532,2state1ap2acc_parity_0717635593,1,8,13,21,33,12,0,0,3.8,
fwd,3state1ap0acc_006478_c,3state1ap0acc_081476_c,1,15,30,47,209,33,0,0,47.1,
fwd,3state1ap0acc_006440_c,3state1ap0acc_075812,1,32,19,199,1335,39,0,0,577.0,
fwd,3state1ap0acc_025312,2state1ap2acc_parity_0005106434_c,1,58,8,64,296,36,0,0,44.7,
fwd,2state1ap2acc_parity_0682573952_c,3state1ap0acc_006188,1,17,21,69,175,34,0,0,40.5,
fwd,3state1ap1acc_35719401600_c,3state1ap0acc_070248_c,1,11,21,46,148,15,0,0,28.1,
fwd,4state1ap2acc_parity_189524291821398297457560207943178585638_c,3state1ap0acc_074824,1,14,25,36,115,13,1,0,13.8,
fwd,3state1ap0acc_005514,3state1ap0acc_080964_c,1,25,51,180,1310,60,0,0,336.0,
fwd,3state1ap0acc_024841,3state1ap0acc_006472_c,1,6,21,34,63,3,0,0,3.7,
fwd,3state1ap2acc_parity_0249175337818233701902,3state1ap0acc_025106,1,84,11,136,447,65,1,0,203.2,
fwd,3state1ap0acc_030733_c,3state1ap0acc_005288_c,1,7,14,23,70,2,0,0,4.7,
fwd,3state1ap0acc_012620_c,3state1ap0acc_069828,1,18,13,38,182,28,0,0,25.4,
fwd,3state1ap0acc_029028,3state1ap1acc_45103587365_c,1,27,25,98,693,7,0,0,125.4,
fwd,3state1ap0acc_007214,3state1ap0acc_024707,1,19,5,30,203,25,0,0,27.1,
