pop,neg_phi,k,bits,safety,cosafety,obligation,recurrence,persistence,brute,ms,note
comp,1state2ap2acc_parity_00258,1state2ap2acc_parity_00258_c,2,1,1,1,1,1,ok,0.6,
comp,1state2ap2acc_parity_00262_c,1state2ap2acc_parity_00262,4,1,1,1,1,1,ok,0.6,
comp,1state2ap2acc_parity_05640_c,1state2ap2acc_parity_05640,4,1,1,1,1,1,ok,0.6,
comp,1state3ap0acc_111,1state3ap0acc_111_c,1,1,1,1,1,1,ok,0.4,
comp,1state3ap0acc_127_c,1state3ap0acc_127,2,1,1,1,1,1,ok,0.5,
comp,1state3ap1acc_00984,1state3ap1acc_00984_c,1,1,1,1,1,1,ok,0.6,
comp,1state3ap1acc_01808,1state3ap1acc_01808_c,1,1,1,1,1,1,ok,0.6,
comp,1state3ap1acc_01816_c,1state3ap1acc_01816,5,1,1,1,1,1,ok,0.8,
comp,1state3ap1acc_05672_c,1state3ap1acc_05672,5,1,1,1,1,1,ok,0.8,
comp,1state3ap1acc_05768_c,1state3ap1acc_05768,5,1,1,1,1,1,ok,0.8,
comp,1state3ap1acc_06180,1state3ap1acc_06180_c,1,1,1,1,1,1,ok,0.6,
comp,1state3ap1acc_06564_c,1state3ap1acc_06564,5,1,1,1,1,1,ok,0.9,
comp,1state3ap1acc_06980,1state3ap1acc_06980_c,1,1,1,1,1,1,ok,0.7,
comp,1state3ap1acc_07108,1state3ap1acc_07108_c,1,1,1,1,1,1,ok,0.6,
comp,1state3ap1acc_07776_c,1state3ap1acc_07776,5,1,1,1,1,1,ok,0.9,
comp,1state3ap1acc_08032_c,1state3ap1acc_08032,5,1,1,1,1,1,ok,0.9,
comp,1state3ap1acc_27412_c,1state3ap1acc_27412,5,1,1,1,1,1,ok,0.9,
comp,1state3ap2acc_parity_4009950875,1state3ap2acc_parity_4009950875_c,2,1,1,1,1,1,ok,0.6,
comp,2state1ap1acc_00296,2state1ap1acc_00296_c,1,1,1,1,1,1,ok,0.8,
comp,2state1ap1acc_01120,2state1ap2acc_parity_0280437504,1,1,1,1,1,1,ok,0.8,
comp,2state1ap1acc_01668,2state1ap2acc_parity_1092894811,1,1,1,1,1,1,ok,0.7,
comp,2state1ap2acc_parity_0023610368_c,2state1ap2acc_parity_0023610368,12,1,1,1,1,1,ok,122.8,
comp,2state1ap2acc_parity_0082224640,2state1ap2acc_parity_0082224640_c,6,1,1,1,1,1,ok,1.6,
comp,2state1ap2acc_parity_0156533284,2state1ap2acc_parity_0156533284_c,6,1,1,1,1,1,ok,1.6,
comp,2state1ap2acc_parity_0361080842_c,2state1ap2acc_parity_0361080842,7,1,1,1,1,1,ok,6.2,
comp,2state1ap2acc_parity_0440717097,2state1ap2acc_parity_0440717097_c,2,1,1,1,1,1,ok,0.8,
comp,2state1ap2acc_parity_0585695318,2state1ap1acc_49414,3,1,1,1,1,1,ok,0.5,
comp,2state1ap2acc_parity_0682573952,2state1ap2acc_parity_0682573952_c,8,1,1,1,1,1,ok,8.0,
comp,2state1ap2acc_parity_1091584292,2state1ap2acc_parity_1091584292_c,3,1,1,1,1,1,ok,1.8,
comp,2state1ap2acc_parity_1100974856,2state1ap2acc_parity_1100974856_c,3,1,1,1,1,1,ok,1.7,
comp,2state1ap2acc_parity_1163278594_c,2state1ap2acc_parity_1163278594,2,1,1,1,1,1,ok,1.1,
comp,2state2ap1acc_parity_0048820304,2state2ap1acc_parity_0048820304_c,23,1,1,1,1,1,skip-bits,8.7,
comp,2state2ap1acc_parity_2306956557_c,2state2ap1acc_parity_2306956557,3,1,1,1,1,1,ok,0.6,
comp,2state2ap2acc_parity_00593706300350443922,2state2ap2acc_parity_00593706300350443922_c,34,1,1,1,1,1,skip-bits,4.4,
comp,2state2ap2acc_parity_00990318396378167694_c,2state2ap2acc_parity_00990318396378167694,4,1,1,1,1,1,ok,1.0,
comp,2state2ap2acc_parity_01025293266847957421,2state2ap2acc_parity_01025293266847957421_c,15,1,1,1,1,1,skip-bits,2.8,
comp,2state2ap2acc_parity_02307324137090008103_c,2state2ap2acc_parity_02307324137090008103,30,1,1,1,1,1,skip-bits,18.2,
comp,2state2ap2acc_parity_02479144338996496752,2state2ap2acc_parity_02479144338996496752_c,8,1,1,1,1,1,ok,5.9,
comp,2state2ap2acc_parity_03520663292383319141,2state2ap2acc_parity_03520663292383319141_c,6,1,1,1,1,1,ok,3.0,
comp,2state2ap2acc_parity_05928472454425936171,2state2ap2acc_parity_05928472454425936171_c,8,1,1,1,1,1,ok,5.4,
comp,2state2ap2acc_parity_07682050317558685146,2state2ap2acc_parity_07682050317558685146_c,17,1,1,1,1,1,skip-bits,1.4,
comp,2state2ap2acc_parity_08145707971420113983_c,2state2ap2acc_parity_08145707971420113983,4,1,1,1,1,1,ok,1.1,
comp,2state2ap2acc_parity_08428841554743566745_c,2state2ap2acc_parity_08428841554743566745,10,1,1,1,1,1,ok,87.7,
comp,2state2ap2acc_parity_09981525486868144193,2state2ap2acc_parity_09981525486868144193_c,11,1,1,1,1,1,ok,42.9,
comp,2state2ap2acc_parity_10415250806679194641_c,2state2ap2acc_parity_10415250806679194641,6,1,1,1,1,1,ok,5.5,
comp,2state2ap2acc_parity_11739460036733395036,2state2ap2acc_parity_11739460036733395036_c,12,1,1,1,1,1,ok,114.0,
comp,2state2ap2acc_parity_12726042477177204477_c,2state2ap2acc_parity_12726042477177204477,6,1,1,1,1,1,ok,3.3,
comp,2state2ap2acc_parity_16593697657777363039_c,2state2ap2acc_parity_16593697657777363039,8,1,1,1,1,1,ok,17.7,
comp,2state3ap1acc_parity_02396250507214873544,2state3ap1acc_parity_02396250507214873544_c,17,1,1,1,1,1,skip-bits,6.6,
