a,b,n_prod,mod_ok,inc_ab,inc_ba,mono_ok,cons_ok,ms
3state1ap0acc_030792.sos,3state1ap1acc_01343514762.sos,105,1,0,0,1,1,172
3state1ap0acc_005816.sos,2state1ap2acc_parity_0156533284.sos,42,1,0,0,1,1,22
3state2ap1acc_parity_2715280198836763191216.sos,3state2ap2acc_parity_00145950078354678592542622442268670481382322.sos,92,1,0,0,1,1,113
3state1ap0acc_091212.sos,3state1ap0acc_004741.sos,77,1,0,0,1,1,84
3state1ap0acc_025912.sos,2state1ap1acc_03170.sos,64,1,0,0,1,1,57
3state1ap0acc_024864.sos,3state1ap0acc_071048.sos,34,1,0,0,1,1,13
3state1ap0acc_076332.sos,3state1ap0acc_025104.sos,66,1,0,0,1,1,66
3state1ap0acc_078476.sos,3state1ap0acc_092174.sos,92,1,1,0,1,1,176
3state1ap0acc_069828.sos,3state1ap1acc_parity_10805384360.sos,32,1,0,0,1,1,9
3state1ap1acc_21242053141.sos,3state1ap0acc_007708.sos,112,1,0,0,1,1,250
2state1ap1acc_01604.sos,2state1ap1acc_01680.sos,22,1,0,0,1,1,5
1state3ap0acc_023.sos,1state3ap1acc_07808.sos,6,1,0,0,1,1,1
3state1ap2acc_parity_0001875479050666053122.sos,3state1ap0acc_024737.sos,62,1,0,0,1,1,55
3state1ap0acc_029201.sos,3state1ap0acc_005158.sos,72,1,0,0,1,1,84
3state1ap1acc_parity_02551254100.sos,3state1ap0acc_026642.sos,93,1,0,0,1,1,106
3state1ap0acc_013352.sos,3state1ap0acc_005294.sos,69,1,0,0,1,1,56
3state1ap1acc_44430561286.sos,2state1ap1acc_01600.sos,34,1,0,1,1,1,14
3state1ap1acc_00193757476.sos,3state1ap1acc_34496190112.sos,29,1,0,1,1,1,9
3state1ap0acc_004358.sos,3state1ap0acc_073832.sos,31,1,0,0,1,1,11
2state1ap2acc_parity_0176724042.sos,3state1ap0acc_079896.sos,273,1,0,0,1,1,2257
3state1ap1acc_19668730178.sos,3state1ap0acc_078476.sos,31,1,0,0,1,1,8
2state2ap2acc_parity_16781646786751205954.sos,3state2ap2acc_parity_03157052310097838945731323106838689975135344.sos,196,1,0,0,1,1,1013
3state1ap0acc_007302.sos,3state1ap0acc_006488.sos,149,1,0,0,1,1,493
3state2ap2acc_parity_02962600147653635554458786091040961270417802.sos,2state2ap2acc_parity_15000387690674922722.sos,121,1,0,0,1,1,329
3state1ap0acc_025712.sos,3state1ap0acc_005654.sos,498,1,0,0,1,1,12060
3state1ap0acc_024689.sos,3state1ap0acc_075080.sos,54,1,0,0,1,1,34
3state1ap0acc_013992.sos,3state1ap0acc_029961.sos,334,1,0,0,1,1,3135
2state1ap2acc_parity_0021669632.sos,3state1ap0acc_024928.sos,51,1,0,0,1,1,33
2state2ap1acc_parity_4052772551.sos,2state2ap2acc_parity_01870389732279573618.sos,21,1,0,0,1,1,5
2state2ap2acc_parity_15000387690674922722.sos,2state2ap2acc_parity_13872042487650145799.sos,83,1,0,0,1,1,126
3state1ap0acc_079364.sos,2state1ap1acc_04376.sos,170,1,0,0,1,1,677
2state1ap1acc_16898.sos,3state1ap0acc_007432.sos,35,1,0,0,1,1,14
3state1ap0acc_074278.sos,2state1ap2acc_parity_2183419904.sos,73,1,0,0,1,1,73
3state1ap0acc_026705.sos,3state1ap0acc_005261.sos,119,1,0,0,1,1,172
3state1ap0acc_090190.sos,3state1ap0acc_004614.sos,24,1,0,0,1,1,4
2state3ap1acc_parity_04183516953102166478.sos,1state3ap1acc_01960.sos,32,1,0,0,1,1,9
3state1ap0acc_028772.sos,3state1ap0acc_013337.sos,162,1,0,0,1,1,534
3state1ap0acc_025248.sos,3state1ap1acc_23056107610.sos,28,1,1,0,1,1,7
3state1ap0acc_074766.sos,3state1ap0acc_029960.sos,86,1,0,0,1,1,116
3state1ap0acc_021009.sos,3state1ap0acc_090756.sos,21,1,0,0,1,1,4
2state2ap2acc_parity_00484636427467843727.sos,3state2ap2acc_parity_04293279035531711165121808122671204563452021.sos,229,1,0,0,1,1,1820
3state1ap0acc_024784.sos,3state1ap1acc_parity_20303183877.sos,30,1,0,0,1,1,8
3state1ap0acc_025714.sos,3state1ap1acc_08843952581.sos,164,1,0,0,1,1,523
3state1ap0acc_030857.sos,3state1ap0acc_029996.sos,158,1,0,0,1,1,420
3state1ap1acc_parity_03967827977.sos,3state1ap0acc_026800.sos,56,1,0,1,1,1,39
3state1ap0acc_025889.sos,3state1ap0acc_093704.sos,87,1,0,0,1,1,116
3state1ap0acc_024689.sos,3state1ap0acc_013354.sos,57,1,0,0,1,1,37
3state1ap0acc_029704.sos,3state1ap0acc_029710.sos,121,1,0,0,1,1,283
3state1ap0acc_025240.sos,3state1ap0acc_070284.sos,67,1,0,0,1,1,71
3state1ap0acc_092297.sos,3state1ap0acc_005288.sos,84,1,0,0,1,1,82
3state1ap0acc_029966.sos,3state1ap0acc_061698.sos,51,1,0,1,1,1,32
