a,b,c,tri_ok,ms
3state1ap1acc_17325470882.sos,3state1ap0acc_112644_c.sos,3state1ap0acc_091336.sos,1,68
2state1ap2acc_parity_0495881612.sos,3state1ap0acc_029006.sos,3state1ap0acc_091212.sos,1,92
3state1ap0acc_075844.sos,3state1ap0acc_023089_c.sos,3state1ap0acc_096392_c.sos,1,121
3state1ap0acc_028804_c.sos,2state1ap1acc_06284.sos,3state1ap1acc_52892438391.sos,1,2
3state1ap0acc_025248.sos,3state1ap0acc_073928.sos,3state1ap0acc_091236.sos,1,176
3state1ap0acc_078508.sos,3state1ap0acc_025642_c.sos,3state1ap0acc_006684_c.sos,1,25
3state1ap2acc_parity_1730104813266762304422_c.sos,2state1ap2acc_parity_0159485788_c.sos,3state1ap1acc_parity_06258090722_c.sos,1,52
2state1ap1acc_04358.sos,2state1ap1acc_05250.sos,3state1ap0acc_075805.sos,1,4
3state1ap2acc_parity_0682827486289373906434.sos,3state1ap1acc_35769115713_c.sos,3state1ap0acc_024650_c.sos,1,92
4state1ap1acc_parity_11962343464604113698.sos,3state1ap0acc_025112.sos,3state1ap0acc_080393_c.sos,1,29
3state1ap0acc_005673.sos,3state1ap0acc_091336.sos,3state1ap0acc_025296_c.sos,1,911
3state1ap0acc_031748.sos,3state1ap0acc_006148.sos,3state1ap0acc_015432.sos,1,202
3state1ap0acc_005652.sos,3state1ap0acc_091212.sos,3state1ap0acc_025893_c.sos,1,3490
3state1ap1acc_parity_52965716128_c.sos,2state1ap1acc_03168.sos,3state1ap0acc_024948_c.sos,1,115
3state1ap0acc_004708_c.sos,3state1ap0acc_074756.sos,3state1ap0acc_080138.sos,1,192
2state1ap2acc_parity_0572212224.sos,3state1ap0acc_090190_c.sos,3state1ap0acc_013606_c.sos,1,79
3state1ap0acc_029325_c.sos,3state1ap1acc_05412549892.sos,3state1ap1acc_parity_21949986832_c.sos,1,3
3state1ap0acc_012554.sos,3state1ap0acc_007430.sos,3state1ap0acc_071756.sos,1,3005
3state1ap1acc_18420848649.sos,2state1ap1acc_16898.sos,3state1ap0acc_027161.sos,1,5
3state1ap0acc_106754_c.sos,3state1ap0acc_024841.sos,3state1ap0acc_024940.sos,1,13
3state1ap0acc_021208.sos,3state1ap0acc_031238_c.sos,3state1ap1acc_36239149220_c.sos,1,314
3state1ap0acc_025312_c.sos,3state1ap0acc_076297.sos,3state1ap0acc_029348.sos,1,8026
3state1ap1acc_10084024801_c.sos,3state1ap0acc_024709.sos,3state1ap0acc_021676.sos,1,30
1state2ap2acc_24960_c.sos,3state2ap2acc_parity_00442143975446621002174926794741649083380452_c.sos,1state2ap2acc_parity_06660_c.sos,1,13
3state1ap1acc_17348330017.sos,3state1ap0acc_074092.sos,3state1ap0acc_071962_c.sos,1,723
3state1ap0acc_075796.sos,3state1ap0acc_004428.sos,3state1ap0acc_004394.sos,1,11
2state1ap1acc_01120.sos,3state1ap0acc_091816.sos,3state1ap0acc_005162_c.sos,1,85
3state1ap0acc_029732.sos,3state1ap0acc_015364_c.sos,3state1ap2acc_parity_3791357401319149553198_c.sos,1,2032
3state1ap1acc_parity_20955287557_c.sos,3state1ap0acc_006808_c.sos,3state1ap0acc_076040.sos,1,131
1state2ap1acc_024_c.sos,2state2ap2acc_parity_15000387690674922722_c.sos,3state2ap2acc_parity_04482050508236234612271751510476758146335746_c.sos,1,94
3state1ap0acc_029796.sos,3state1ap0acc_092302.sos,3state1ap0acc_069780_c.sos,1,374
3state1ap2acc_parity_2601009273641902998539.sos,2state1ap2acc_parity_0004552970_c.sos,3state1ap0acc_027165_c.sos,1,13
3state1ap0acc_070212.sos,3state1ap0acc_031880.sos,3state1ap0acc_005164.sos,1,116
3state1ap1acc_00501801994_c.sos,3state1ap0acc_020898.sos,3state1ap0acc_024940.sos,1,44
3state1ap0acc_030726_c.sos,3state1ap0acc_030733.sos,3state1ap0acc_074377.sos,1,19
3state1ap0acc_073804_c.sos,2state1ap1acc_06280.sos,3state1ap0acc_112780.sos,1,24
3state1ap0acc_004613_c.sos,3state1ap0acc_031248_c.sos,3state1ap0acc_071686_c.sos,1,51
2state1ap1acc_06600.sos,3state1ap1acc_10951611776.sos,3state1ap2acc_parity_1500892642206368090510.sos,1,112
2state1ap2acc_parity_0047726660.sos,3state1ap1acc_21883242760.sos,2state1ap1acc_01218_c.sos,1,13
3state1ap0acc_090722.sos,3state1ap0acc_090756.sos,3state1ap0acc_007316.sos,1,16
2state1ap2acc_parity_0277848579.sos,3state1ap0acc_106754.sos,3state1ap0acc_074388.sos,1,14
