a,b,inc_ab,inc_ba,mono_ok,ms
3state1ap0acc_070150_c.sos,3state1ap1acc_17325470882.sos,0,0,1,0
3state1ap0acc_006428_c.sos,2state1ap2acc_parity_0495881612.sos,0,0,1,7
3state2ap1acc_parity_3585895366144295765516.sos,3state2ap2acc_parity_00840054722568851215010967259252962838584005_c.sos,0,0,1,4
3state1ap0acc_096392_c.sos,3state1ap0acc_005386_c.sos,0,0,1,1
3state1ap0acc_028804_c.sos,2state1ap1acc_06284.sos,0,0,1,0
3state1ap0acc_025248.sos,3state1ap0acc_073928.sos,0,0,1,1
3state1ap0acc_078508.sos,3state1ap0acc_025642_c.sos,0,0,1,1
3state1ap0acc_080036_c.sos,3state1ap0acc_111010_c.sos,0,0,1,0
3state1ap0acc_071942_c.sos,3state1ap2acc_parity_1730104813266762304422_c.sos,0,0,1,8
3state1ap1acc_parity_06258090722_c.sos,3state1ap0acc_013322_c.sos,0,0,1,1
2state1ap1acc_04358.sos,2state1ap1acc_05250.sos,0,0,1,0
1state3ap0acc_023_c.sos,1state3ap1acc_07808.sos,0,1,1,0
4state1ap1acc_parity_11962343464604113698.sos,3state1ap0acc_025112.sos,0,0,1,1
3state1ap0acc_029996_c.sos,3state1ap0acc_005673.sos,0,0,1,2
3state1ap2acc_parity_0682827486289373906434.sos,3state1ap0acc_029006_c.sos,0,0,1,1
3state1ap0acc_015432.sos,3state1ap0acc_005800_c.sos,0,0,1,5
3state1ap0acc_091212.sos,3state1ap0acc_025893_c.sos,0,0,1,14
3state1ap1acc_parity_52965716128_c.sos,2state1ap1acc_03168.sos,0,0,1,1
3state1ap1acc_09215799313.sos,3state1ap1acc_parity_34509952050.sos,0,1,1,0
3state1ap0acc_004708_c.sos,3state1ap0acc_074756.sos,0,1,1,2
2state1ap2acc_parity_0572212224.sos,3state1ap0acc_090190_c.sos,0,0,1,0
3state1ap1acc_parity_00537939912_c.sos,3state1ap0acc_080036_c.sos,0,1,1,1
3state2ap1acc_parity_0564429542916576318587.sos,3state2ap2acc_parity_04277202275612249468214677860065156699754614_c.sos,0,1,1,8
3state1ap0acc_012554.sos,3state1ap0acc_007430.sos,0,0,1,4
3state2ap2acc_parity_04219385994207169995401129960131705539756856.sos,2state2ap2acc_parity_15919108094868908105_c.sos,0,0,1,1
3state1ap0acc_027161.sos,3state1ap0acc_006198_c.sos,0,0,1,1
3state1ap0acc_024940.sos,3state1ap0acc_076301.sos,0,0,1,4
3state1ap0acc_021208.sos,3state1ap0acc_031238_c.sos,0,0,1,4
2state1ap2acc_parity_0075547220_c.sos,3state1ap0acc_025312_c.sos,0,0,1,7
2state2ap2acc_parity_00113859048058933820.sos,2state2ap2acc_parity_02479144338996496752.sos,0,0,1,1
2state2ap2acc_parity_15919108094868908105_c.sos,2state2ap2acc_parity_14256415268443652305.sos,0,0,1,1
1state2ap2acc_24960_c.sos,3state2ap2acc_parity_00442143975446621002174926794741649083380452_c.sos,0,0,1,1
3state1ap0acc_012620.sos,3state1ap0acc_078925_c.sos,0,0,1,1
3state1ap0acc_075796.sos,3state1ap0acc_004428.sos,0,0,1,1
3state1ap0acc_029252_c.sos,3state1ap0acc_005766_c.sos,0,0,1,6
3state1ap0acc_091816.sos,3state1ap0acc_005162_c.sos,1,0,1,4
2state3ap1acc_parity_04421191306838898176.sos,1state3ap1acc_01960_c.sos,0,0,1,1
3state1ap0acc_029732.sos,3state1ap0acc_015364_c.sos,0,0,1,12
3state1ap0acc_025890_c.sos,3state1ap1acc_parity_20955287557_c.sos,0,0,1,1
3state1ap0acc_076040.sos,3state1ap0acc_031236.sos,0,0,1,1
3state1ap0acc_024658_c.sos,3state1ap0acc_093192.sos,0,0,1,3
2state2ap2acc_parity_00732443274184804514_c.sos,3state2ap2acc_parity_05132556223071672711510498969415822281216562.sos,0,0,1,2
3state1ap0acc_025169.sos,3state1ap2acc_parity_2601009273641902998539.sos,0,0,1,3
3state1ap0acc_027165_c.sos,3state1ap1acc_22079178886_c.sos,0,0,1,0
3state1ap0acc_070212.sos,3state1ap0acc_031880.sos,1,0,1,5
3state1ap2acc_parity_1266701870302111145966.sos,3state1ap0acc_029269_c.sos,0,0,1,2
3state1ap0acc_028742_c.sos,3state1ap1acc_00501801994_c.sos,0,1,1,1
3state1ap0acc_024940.sos,3state1ap0acc_015624.sos,0,0,1,2
3state1ap0acc_030726_c.sos,3state1ap0acc_030733.sos,0,0,1,2
3state1ap0acc_025882_c.sos,3state1ap0acc_073804_c.sos,0,0,1,2
3state1ap0acc_112780.sos,3state1ap0acc_005788.sos,0,0,1,3
