name,n,n_prod,pr_num,pr_den,oracle_num,oracle_den,ok,skip,ms
1state2ap0acc_07.sos,3,5,0,1,0,1,1,0,1
1state2ap1acc_022_c.sos,4,7,1,1,1,1,1,0,1
1state2ap2acc_00416.sos,5,10,0,1,0,1,1,0,1
1state2ap2acc_parity_00262_c.sos,4,8,1,1,1,1,1,0,1
1state2ap2acc_parity_06660.sos,4,7,0,1,0,1,1,0,1
1state3ap0acc_007.sos,3,11,0,1,0,1,1,0,1
1state3ap0acc_031_c.sos,3,13,1,2,1,2,1,0,2
1state3ap0acc_107_c.sos,3,5,1,1,1,1,1,0,1
1state3ap1acc_00286_c.sos,4,8,1,1,1,1,1,0,1
1state3ap1acc_00300_c.sos,4,14,1,1,1,1,1,0,1
1state3ap1acc_00318_c.sos,4,13,2,3,2,3,1,0,2
1state3ap1acc_00386.sos,4,14,0,1,0,1,1,0,1
1state3ap1acc_00410_c.sos,4,11,1,1,1,1,1,0,1
1state3ap1acc_00510.sos,3,7,1,1,1,1,1,0,1
1state3ap1acc_00772_c.sos,4,13,1,1,1,1,1,0,1
1state3ap1acc_00792.sos,4,6,0,1,0,1,1,0,1
1state3ap1acc_00828_c.sos,4,4,1,1,1,1,1,0,1
1state3ap1acc_00844_c.sos,4,21,1,1,1,1,1,0,1
1state3ap1acc_00852.sos,4,13,0,1,0,1,1,0,1
1state3ap1acc_00964.sos,4,18,0,1,0,1,1,0,1
1state3ap1acc_01552_c.sos,4,10,1,1,1,1,1,0,1
1state3ap1acc_01568.sos,4,10,0,1,0,1,1,0,1
1state3ap1acc_01912_c.sos,4,24,1,1,1,1,1,0,2
1state3ap1acc_06375.sos,3,10,1,1,1,1,1,0,1
1state3ap1acc_06530.sos,4,5,0,1,0,1,1,0,1
1state3ap1acc_07140_c.sos,3,10,0,1,0,1,1,0,1
1state3ap1acc_15746.sos,4,11,1,1,1,1,1,0,1
1state3ap1acc_16320.sos,3,2,0,1,0,1,1,0,1
2state1ap1acc_01604_c.sos,10,4,1,1,1,1,1,0,1
2state1ap1acc_04900.sos,9,6,1,1,1,1,1,0,1
2state1ap1acc_16897.sos,4,6,0,1,0,1,1,0,1
2state1ap1acc_17474.sos,13,13,0,1,0,1,1,0,1
2state1ap2acc_parity_0002667783.sos,11,2,1,1,1,1,1,0,1
2state1ap2acc_parity_0004538925_c.sos,11,5,1,1,1,1,1,0,1
2state1ap2acc_parity_0014200578.sos,20,3,1,1,1,1,1,0,1
2state1ap2acc_parity_0015614720.sos,9,14,0,1,0,1,1,0,1
2state1ap2acc_parity_0017110190.sos,4,4,0,1,0,1,1,0,1
2state1ap2acc_parity_0041950982.sos,7,2,0,1,0,1,1,0,1
2state1ap2acc_parity_0075897609.sos,6,4,0,1,0,1,1,0,1
2state1ap2acc_parity_0092292688_c.sos,25,7,1,3,1,3,1,0,3
2state1ap2acc_parity_0173097769.sos,9,5,0,1,0,1,1,0,1
2state1ap2acc_parity_0277848579.sos,11,3,1,1,1,1,1,0,1
2state1ap2acc_parity_0545808721.sos,7,2,0,1,0,1,1,0,1
2state1ap2acc_parity_1367673344_c.sos,6,4,1,1,1,1,1,0,1
2state2ap1acc_parity_1488461833.sos,45,11,1,1,1,1,1,0,1
2state2ap1acc_parity_1721618876.sos,4,8,1,1,1,1,1,0,1
2state2ap1acc_parity_3367352592_c.sos,18,7,0,1,0,1,1,0,1
2state2ap2acc_parity_00070780542479492635_c.sos,28,7,0,1,0,1,1,0,1
2state2ap2acc_parity_00113859048058933820_c.sos,17,7,1,1,1,1,1,0,1
2state2ap2acc_parity_00114879962707382398_c.sos,13,9,1,1,1,1,1,0,1
2state2ap2acc_parity_00312008535007781011_c.sos,19,6,0,1,0,1,1,0,1
2state2ap2acc_parity_00660078807834349713_c.sos,33,24,0,1,0,1,1,0,2
2state2ap2acc_parity_01303389374918484602_c.sos,33,5,0,1,0,1,1,0,1
2state2ap2acc_parity_02324350295120187772.sos,21,6,1,1,1,1,1,0,1
2state2ap2acc_parity_03089857006815921569.sos,17,6,1,1,1,1,1,0,1
2state2ap2acc_parity_03482540959994119587.sos,9,3,1,1,1,1,1,0,1
2state2ap2acc_parity_03718533871917009151.sos,21,12,1,1,1,1,1,0,1
2state2ap2acc_parity_04630318344642327802_c.sos,21,15,1,1,1,1,1,0,2
2state2ap2acc_parity_06371523214819767226_c.sos,25,21,1,1,1,1,1,0,2
2state2ap2acc_parity_06460898018072463543.sos,29,15,0,1,0,1,1,0,2
2state2ap2acc_parity_08097378024127669867_c.sos,12,4,1,1,1,1,1,0,1
2state2ap2acc_parity_08563177938427864405.sos,12,23,0,1,0,1,1,0,2
2state2ap2acc_parity_09266768433277719681_c.sos,12,7,1,1,1,1,1,0,2
2state2ap2acc_parity_09554550169789080767_c.sos,15,8,0,1,0,1,1,0,1
2state2ap2acc_parity_10422940770602048534.sos,8,2,1,1,1,1,1,0,1
2state2ap2acc_parity_10792587304444124408_c.sos,11,11,1,1,1,1,1,0,1
2state2ap2acc_parity_11144870640630149925_c.sos,5,3,0,1,0,1,1,0,1
2state2ap2acc_parity_11316808124643219609.sos,22,16,19,25,19,25,1,0,2
2state2ap2acc_parity_11710311934839488777.sos,26,2,1,1,1,1,1,0,1
2state2ap2acc_parity_12116774986304573491_c.sos,15,14,1,1,1,1,1,0,1
2state2ap2acc_parity_12585468311711842389.sos,26,6,1,1,1,1,1,0,1
2state2ap2acc_parity_12745163225528420035_c.sos,15,8,0,1,0,1,1,0,1
2state2ap2acc_parity_12855314594998128191_c.sos,25,8,1,1,1,1,1,0,1
2state2ap2acc_parity_13848135222201485089.sos,23,6,1,1,1,1,1,0,1
2state2ap2acc_parity_13954967989203052064.sos,14,16,0,1,0,1,1,0,1
2state2ap2acc_parity_14134640005280270741.sos,21,17,1,1,1,1,1,0,1
2state2ap2acc_parity_16473800139310039218_c.sos,28,16,1,1,1,1,1,0,1
2state3ap1acc_parity_01373855241530822097_c.sos,52,13,1,1,1,1,1,0,2
2state3ap1acc_parity_02614646715407461635_c.sos,12,24,1,1,1,1,1,0,3
2state3ap1acc_parity_03229356971305243857.sos,29,6,1,1,1,1,1,0,1
2state3ap1acc_parity_03229356971305243857_c.sos,29,17,0,1,0,1,1,0,2
2state3ap1acc_parity_03296843726447724620.sos,25,2,1,1,1,1,1,0,1
2state3ap1acc_parity_04990135774748346682_c.sos,27,23,1,1,1,1,1,0,3
2state3ap1acc_parity_08880186115674091414.sos,11,39,0,1,0,1,1,0,4
2state3ap1acc_parity_09876761221101207310_c.sos,49,25,1,1,1,1,1,0,3
2state3ap1acc_parity_10541487760048391324.sos,22,8,1,1,1,1,1,0,1
2state3ap1acc_parity_12253434782604436768.sos,62,17,1,1,1,1,1,0,3
2state3ap1acc_parity_17186011607983164326_c.sos,19,11,0,1,0,1,1,0,2
3state1ap0acc_004236.sos,12,5,0,1,0,1,1,0,1
3state1ap0acc_004430.sos,7,8,29,32,29,32,1,0,1
3state1ap0acc_004452_c.sos,20,24,1,1,1,1,1,0,2
3state1ap0acc_004646.sos,11,4,1,1,1,1,1,0,1
3state1ap0acc_004676.sos,10,13,0,1,0,1,1,0,1
3state1ap0acc_004756.sos,13,3,0,1,0,1,1,0,1
3state1ap0acc_005156_c.sos,14,3,1,1,1,1,1,0,1
3state1ap0acc_005304_c.sos,26,19,1,1,1,1,1,0,2
3state1ap0acc_005514_c.sos,25,23,19,40,19,40,1,0,2
3state1ap0acc_005764.sos,14,2,0,1,0,1,1,0,1
3state1ap0acc_006149_c.sos,12,7,1,1,1,1,1,0,1
3state1ap0acc_006154.sos,12,5,0,1,0,1,1,0,1
3state1ap0acc_006422_c.sos,72,2,1,1,1,1,1,0,1
3state1ap0acc_006442.sos,32,17,0,1,0,1,1,0,2
3state1ap0acc_007208_c.sos,21,3,1,1,1,1,1,0,1
3state1ap0acc_007214_c.sos,19,17,0,1,0,1,1,0,1
3state1ap0acc_007304.sos,19,14,0,1,0,1,1,0,1
3state1ap0acc_007332.sos,50,54,0,1,0,1,1,0,11
3state1ap0acc_007348.sos,45,21,0,1,0,1,1,0,2
3state1ap0acc_008292_c.sos,15,13,4,9,4,9,1,0,1
3state1ap0acc_012569.sos,17,4,0,1,0,1,1,0,1
3state1ap0acc_013350.sos,50,39,0,1,0,1,1,0,5
3state1ap0acc_013400.sos,37,12,0,1,0,1,1,0,1
3state1ap0acc_013606.sos,55,55,0,1,0,1,1,0,10
3state1ap0acc_013908.sos,57,53,3483,32515,3483,32515,1,0,9
3state1ap0acc_020620.sos,14,12,0,1,0,1,1,0,1
3state1ap0acc_020712_c.sos,23,15,1,1,1,1,1,0,2
3state1ap0acc_020920.sos,36,16,0,1,0,1,1,0,1
3state1ap0acc_021096_c.sos,21,12,1,1,1,1,1,0,2
3state1ap0acc_021678.sos,36,5,1,1,1,1,1,0,1
3state1ap0acc_022112.sos,49,10,0,1,0,1,1,0,1
3state1ap0acc_022112_c.sos,49,2,1,1,1,1,1,0,1
3state1ap0acc_022128_c.sos,47,3,0,1,0,1,1,0,1
3state1ap0acc_024650_c.sos,12,7,1,1,1,1,1,0,1
3state1ap0acc_024668.sos,93,55,0,1,0,1,1,0,13
3state1ap0acc_024770_c.sos,6,1,0,1,0,1,1,0,1
3state1ap0acc_024773_c.sos,12,10,1,1,1,1,1,0,1
3state1ap0acc_025089_c.sos,8,2,1,1,1,1,1,0,1
3state1ap0acc_025105.sos,16,6,1,1,1,1,1,0,1
3state1ap0acc_025122.sos,7,11,0,1,0,1,1,0,1
3state1ap0acc_025249.sos,72,26,0,1,0,1,1,0,3
3state1ap0acc_025261_c.sos,11,6,0,1,0,1,1,0,1
3state1ap0acc_025633_c.sos,21,2,0,1,0,1,1,0,1
3state1ap0acc_025634_c.sos,21,11,1,1,1,1,1,0,1
3state1ap0acc_025640.sos,12,13,0,1,0,1,1,0,1
3state1ap0acc_025714_c.sos,72,5,0,1,0,1,1,0,1
3state1ap0acc_025834.sos,11,20,223,255,223,255,1,0,2
3state1ap0acc_026196.sos,39,9,1,1,1,1,1,0,1
3state1ap0acc_026642.sos,15,15,0,1,0,1,1,0,1
3state1ap0acc_027185_c.sos,18,5,0,1,0,1,1,0,1
3state1ap0acc_027188_c.sos,31,13,1,6,1,6,1,0,2
3state1ap0acc_028836_c.sos,38,12,0,1,0,1,1,0,1
3state1ap0acc_028960.sos,14,19,0,1,0,1,1,0,2
3state1ap0acc_029064_c.sos,12,2,0,1,0,1,1,0,1
3state1ap0acc_029201.sos,23,5,1,3,1,3,1,0,1
3state1ap0acc_029325_c.sos,7,2,0,1,0,1,1,0,1
3state1ap0acc_029356_c.sos,30,26,1,1,1,1,1,0,2
3state1ap0acc_029416_c.sos,36,24,1,1,1,1,1,0,3
3state1ap0acc_030029.sos,22,14,0,1,0,1,1,0,1
3state1ap0acc_030248.sos,36,16,7,15,7,15,1,0,1
3state1ap0acc_030728_c.sos,14,34,1,1,1,1,1,0,4
3state1ap0acc_031312.sos,50,35,191,479,191,479,1,0,6
3state1ap0acc_031752_c.sos,25,78,313,481,313,481,1,0,20
3state1ap0acc_069780.sos,20,5,0,1,0,1,1,0,1
3state1ap0acc_070040.sos,37,18,0,1,0,1,1,0,2
3state1ap0acc_070228_c.sos,30,35,1,1,1,1,1,0,4
3state1ap0acc_071174.sos,73,32,0,1,0,1,1,0,4
3state1ap0acc_071182_c.sos,32,28,1,1,1,1,1,0,3
3state1ap0acc_071686_c.sos,25,2,1,1,1,1,1,0,1
3state1ap0acc_071880.sos,22,5,1,1,1,1,1,0,1
3state1ap0acc_071962.sos,30,2,1,1,1,1,1,0,1
3state1ap0acc_072710.sos,77,5,0,1,0,1,1,0,1
3state1ap0acc_073816.sos,15,4,1,1,1,1,1,0,1
3state1ap0acc_073830_c.sos,24,57,1,1,1,1,1,0,10
3state1ap0acc_073860_c.sos,10,4,1,1,1,1,1,0,1
3state1ap0acc_073892_c.sos,22,11,3,16,3,16,1,0,1
3state1ap0acc_073990_c.sos,7,1,0,1,0,1,1,0,1
3state1ap0acc_074022_c.sos,17,9,1,1,1,1,1,0,1
3state1ap0acc_074246.sos,9,3,0,1,0,1,1,0,1
3state1ap0acc_074264.sos,10,4,1,1,1,1,1,0,1
3state1ap0acc_074381.sos,11,5,1,1,1,1,1,0,1
3state1ap0acc_074472.sos,58,32,0,1,0,1,1,0,4
3state1ap0acc_074824_c.sos,25,17,1,1,1,1,1,0,2
3state1ap0acc_075268_c.sos,25,2,1,1,1,1,1,0,1
3state1ap0acc_075789.sos,25,36,29,65,29,65,1,0,4
3state1ap0acc_075790.sos,77,4,1,1,1,1,1,0,1
3state1ap0acc_076332_c.sos,51,7,0,1,0,1,1,0,1
3state1ap0acc_076425.sos,44,28,0,1,0,1,1,0,3
3state1ap0acc_076430.sos,46,4,1,1,1,1,1,0,1
3state1ap0acc_076872_c.sos,50,2,0,1,0,1,1,0,1
3state1ap0acc_077988.sos,17,6,2,5,2,5,1,0,1
