# date: 2026-07-11
# git-rev: c8f4d3004
# seed: 20260711
# corpus: genaut/corpus/flat_canon/sos
case,n_aps,n_classes,inert_set,sym_generator_hits,anti_generator_hits,anti_possible,sym_full_count,anti_full_count,status,wall_ms
1state1ap0acc_0,0,2,,,,0,1,0,ok,0.7
1state1ap0acc_1,1,3,,,,0,1,0,ok,1.1
1state1ap0acc_3,0,2,,,,0,1,0,ok,0.3
1state1ap1acc_06,1,3,,,,0,1,0,ok,0.9
1state1ap2acc_024,1,4,,f0,,0,2,0,ok,0.8
1state1ap2acc_parity_018,1,3,,,,0,1,0,ok,0.6
1state2ap0acc_01,2,3,,,,0,2,0,ok,2.1
1state2ap0acc_01_c,2,3,,,,0,2,0,ok,1.5
1state2ap0acc_03,1,3,,,,0,1,0,ok,0.4
1state2ap0acc_03_c,1,3,,,,0,1,0,ok,0.4
1state2ap0acc_06,2,3,,t01,,0,4,0,ok,1.4
1state2ap0acc_06_c,2,3,,t01,,0,4,0,ok,1.4
1state2ap0acc_07,2,3,,,,0,2,0,ok,1.4
1state2ap0acc_07_c,2,3,,,,0,2,0,ok,1.4
1state2ap1acc_018,2,4,,,,0,1,0,ok,1.7
1state2ap1acc_018_c,2,4,,,,0,1,0,ok,1.7
1state2ap1acc_022,2,4,,,,0,2,0,ok,1.6
1state2ap1acc_022_c,2,4,,,,0,2,0,ok,1.7
1state2ap1acc_024,2,4,,,,0,2,0,ok,1.6
1state2ap1acc_024_c,2,4,,,,0,2,0,ok,1.7
1state2ap1acc_026,2,4,,,,0,1,0,ok,1.6
1state2ap1acc_026_c,2,4,,,,0,1,0,ok,1.7
1state2ap1acc_030,2,3,,,,0,2,0,ok,1.4
1state2ap1acc_052,2,4,,,,0,1,0,ok,1.6
1state2ap1acc_052_c,2,4,,,,0,1,0,ok,1.7
1state2ap1acc_060,1,3,,,,0,1,0,ok,0.4
1state2ap1acc_097,2,4,,,,0,2,0,ok,1.6
1state2ap1acc_097_c,2,4,,,,0,2,0,ok,1.7
1state2ap1acc_105,2,3,,t01,,0,4,0,ok,1.4
1state2ap1acc_120,2,3,,,,0,2,0,ok,1.4
1state2ap2acc_00288,2,5,,f1,,0,2,0,ok,2.0
1state2ap2acc_00288_c,2,5,,f1,,0,2,0,ok,2.1
1state2ap2acc_00292,2,5,,,,0,1,0,ok,2.0
1state2ap2acc_00292_c,2,5,,,,0,1,0,ok,2.1
1state2ap2acc_00300,2,4,,f0,,0,2,0,ok,1.7
1state2ap2acc_00300_c,2,4,,f0,,0,2,0,ok,1.7
1state2ap2acc_00352,2,5,,,,0,2,0,ok,2.0
1state2ap2acc_00352_c,2,5,,,,0,2,0,ok,2.2
1state2ap2acc_00360,2,4,,,,0,2,0,ok,1.7
1state2ap2acc_00360_c,2,4,,,,0,2,0,ok,1.7
1state2ap2acc_00384,2,5,,t01,,0,4,0,ok,2.0
1state2ap2acc_00384_c,2,5,,t01,,0,4,0,ok,2.1
1state2ap2acc_00386,2,5,,t01,,0,2,0,ok,2.0
1state2ap2acc_00386_c,2,5,,t01,,0,2,0,ok,2.1
1state2ap2acc_00390,2,4,,t01,,0,4,0,ok,1.7
1state2ap2acc_00390_c,2,4,,t01,,0,4,0,ok,1.7
1state2ap2acc_00416,2,5,,,,0,1,0,ok,2.1
1state2ap2acc_00416_c,2,5,,,,0,1,0,ok,2.2
1state2ap2acc_00420,2,4,,,,0,1,0,ok,1.7
