input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state1ap0acc_0.hoa,LTL,sos2ltl+sos2ltl.engine,0.086,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.045,genaut/corpus/flat_canon/det/1state1ap0acc_0.hoa
1state1ap0acc_1.hoa,LTL,sos2ltl+sos2ltl.engine,0.087,Ga,2,1,2,1.0,79182d6e45ae,TRUE,0.043,genaut/corpus/flat_canon/det/1state1ap0acc_1.hoa
1state1ap0acc_3.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,1,1,0,1,1.0,e20f564d992f,TRUE,0.040,genaut/corpus/flat_canon/det/1state1ap0acc_3.hoa
1state1ap1acc_06.hoa,LTL,sos2ltl+sos2ltl.engine,0.085,GF!a,4,2,4,1.0,66942b887c5f,TRUE,0.044,genaut/corpus/flat_canon/det/1state1ap1acc_06.hoa
1state1ap2acc_024.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G(F!a & Fa),6,3,7,1.2,8ad927f0d306,TRUE,0.045,genaut/corpus/flat_canon/det/1state1ap2acc_024.hoa
1state1ap2acc_parity_018.hoa,LTL,sos2ltl+sos2ltl.engine,0.087,FGa,3,2,3,1.0,7ef5ce8004f6,TRUE,0.045,genaut/corpus/flat_canon/det/1state1ap2acc_parity_018.hoa
1state2ap0acc_01.hoa,LTL,sos2ltl+sos2ltl.engine,0.089,G(!a & b),5,1,5,1.0,97730685165e,TRUE,0.043,genaut/corpus/flat_canon/det/1state2ap0acc_01.hoa
1state2ap0acc_01_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,F(a | !b),5,1,5,1.0,50ee70d58a1c,TRUE,0.045,genaut/corpus/flat_canon/det/1state2ap0acc_01_c.hoa
1state2ap0acc_03.hoa,LTL,sos2ltl+sos2ltl.engine,0.087,Gb,2,1,2,1.0,960e1ee8f459,TRUE,0.045,genaut/corpus/flat_canon/det/1state2ap0acc_03.hoa
1state2ap0acc_03_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.088,F!b,3,1,3,1.0,85d044bda82a,TRUE,0.045,genaut/corpus/flat_canon/det/1state2ap0acc_03_c.hoa
1state2ap0acc_06.hoa,LTL,sos2ltl+sos2ltl.engine,0.088,G((!a & b) | (a & !b)),8,1,10,1.2,3d4e507049ec,TRUE,0.044,genaut/corpus/flat_canon/det/1state2ap0acc_06.hoa
1state2ap0acc_06_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.089,(!a & !b) | (a & b) | (((!a & b) | (a & !b)) & XF((!a & !b) | (a & b))),14,1,30,2.1,02d26d96bc4c,TRUE,0.045,genaut/corpus/flat_canon/det/1state2ap0acc_06_c.hoa
1state2ap0acc_07.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,G(a | !b),5,1,5,1.0,741f7100c9a3,TRUE,0.042,genaut/corpus/flat_canon/det/1state2ap0acc_07.hoa
1state2ap0acc_07_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.095,(!a & b) | ((a | !b) & XF(!a & b)),10,1,16,1.6,b0f54a77f61b,TRUE,0.042,genaut/corpus/flat_canon/det/1state2ap0acc_07_c.hoa
1state2ap1acc_018.hoa,LTL,sos2ltl+sos2ltl.engine,0.097,G(!b & F(!a & !b)),8,2,10,1.2,2ddc725645e1,TRUE,0.043,genaut/corpus/flat_canon/det/1state2ap1acc_018.hoa
1state2ap1acc_018_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.089,Fb | X(G!b & FG(a | b)),11,4,13,1.2,c3983ad3cb39,TRUE,0.046,genaut/corpus/flat_canon/det/1state2ap1acc_018_c.hoa
1state2ap1acc_022.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G((!a | b) & F((!a & !b) | (a & b))),11,2,16,1.5,80b04b03cef3,TRUE,0.043,genaut/corpus/flat_canon/det/1state2ap1acc_022.hoa
1state2ap1acc_022_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.093,(a & !b) | ((!a | b) & X(F(a & !b) | (G(!a | b) & FG((a | b) & (!a | !b))))),18,4,34,1.9,bb36e3993ea9,TRUE,0.044,genaut/corpus/flat_canon/det/1state2ap1acc_022_c.hoa
1state2ap1acc_024.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,G(((!a & b) | (a & !b)) & F(!a & b)),10,2,16,1.6,3a9e9cb948e8,TRUE,0.042,genaut/corpus/flat_canon/det/1state2ap1acc_024.hoa
1state2ap1acc_024_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.089,(!a & !b) | (a & b) | (((!a & b) | (a & !b)) & X(F((!a & !b) | (a & b)) | (G((!a…,20,4,48,2.4,4a56cffbc8c9,TRUE,0.045,genaut/corpus/flat_canon/det/1state2ap1acc_024_c.hoa
1state2ap1acc_026.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,G((a | b) & Fb),6,2,7,1.2,96b7019e28d7,TRUE,0.046,genaut/corpus/flat_canon/det/1state2ap1acc_026.hoa
1state2ap1acc_026_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,(!a & !b) | ((a | b) & X(F(!a & !b) | (FG!b & G(a | b)))),15,4,27,1.8,75bfdda42bc9,TRUE,0.043,genaut/corpus/flat_canon/det/1state2ap1acc_026_c.hoa
1state2ap1acc_030.hoa,LTL,sos2ltl+sos2ltl.engine,0.089,GF(a | !b),6,2,6,1.0,2d6ba30c6c6c,TRUE,0.044,genaut/corpus/flat_canon/det/1state2ap1acc_030.hoa
