input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state1ap0acc_0.hoa,LTL,sos2ltl.dg,0.093,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.045,genaut/corpus/flat_canon/det/1state1ap0acc_0.hoa
1state1ap0acc_1.hoa,LTL,sos2ltl.dg,0.095,!(!a | !(a | !a) | !(a | !(!a | !Xa)) | !(!a | !(X!(a | !a) | !Xa)) | !(!a | !X(…,44,5,121,2.8,5250c122a94d,TRUE,0.049,genaut/corpus/flat_canon/det/1state1ap0acc_1.hoa
1state1ap0acc_3.hoa,LTL,sos2ltl.dg,0.102,!(X(0) | X(1 U X(0))),7,1,9,1.3,4e77be99cc35,TRUE,0.045,genaut/corpus/flat_canon/det/1state1ap0acc_3.hoa
1state1ap1acc_06.hoa,LTL,sos2ltl.dg,0.095,!(a | !(a | !a) | !(!a | !Xa) | !(a | !a | !X(!(a | !a) U a)) | !(!a | X(1 U !a)…,70,7,662,9.5,243fc0057b8b,TRUE,0.048,genaut/corpus/flat_canon/det/1state1ap1acc_06.hoa
1state1ap2acc_024.hoa,LTL,sos2ltl.dg,0.092,!(a | !(a | !a) | !(!a | !Xa) | !(a | !a | !X(!(a | !a) U a)) | !(!a | X(1 U !a)…,114,13,5720,50.2,e30ebeac0046,TRUE,0.069,genaut/corpus/flat_canon/det/1state1ap2acc_024.hoa
1state1ap2acc_parity_018.hoa,LTL,sos2ltl.dg,0.090,!(!a | !(a | !a) | !(a | !(!a | !Xa)) | !(!a | !(X!(a | !a) | !Xa)) | !(!a | !X(…,86,8,1021,11.9,b184bd08ba3d,TRUE,0.047,genaut/corpus/flat_canon/det/1state1ap2acc_parity_018.hoa
1state2ap0acc_01.hoa,LTL,sos2ltl.dg,0.108,!((!a & !b) | !((!a & !b) | (!a & b) | (a & !b) | (a & b)) | !((!a & !b) | (!a &…,170,19,73335,431.4,8c9e0dcfb430,TRUE,0.164,genaut/corpus/flat_canon/det/1state2ap0acc_01.hoa
1state2ap0acc_01_c.hoa,LTL,sos2ltl.dg,0.095,<unflattened DAG: 37453580 tree nodes>,514,35,37453580,72866.9,08efa03ae83a,SIZE,,genaut/corpus/flat_canon/det/1state2ap0acc_01_c.hoa
1state2ap0acc_03.hoa,LTL,sos2ltl.dg,0.087,!(!b | !(b | !b) | !(b | !(!b | !Xb)) | !(!b | !(X!(b | !b) | !Xb)) | !(!b | !X(…,44,5,121,2.8,4edfbf2483e8,TRUE,0.040,genaut/corpus/flat_canon/det/1state2ap0acc_03.hoa
1state2ap0acc_03_c.hoa,LTL,sos2ltl.dg,0.088,!(b | !(b | !b) | !(!b | !Xb) | !(b | !b | !X(!(b | !b) U b)) | !(!b | X(1 U !b)…,87,9,1561,17.9,08e8e8d88d37,TRUE,0.052,genaut/corpus/flat_canon/det/1state2ap0acc_03_c.hoa
