input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
counting_buchi_1ap_01.txt,NOT_LTL,,1.132,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_01.txt
counting_buchi_1ap_02.txt,NOT_LTL,,1.169,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_02.txt
counting_buchi_1ap_03.txt,LTL,partscc,0.078,!a & G((!a | X!a) & (a | Xa)),9,1,15,1.7,307ad4ea6833,TRUE,samples/kinska/counting/1ap/counting_buchi_1ap_03.txt
counting_buchi_1ap_04.txt,LTL,partscc,0.076,!a & G((!a | X!a) & (a | Xa)),9,1,15,1.7,307ad4ea6833,TRUE,samples/kinska/counting/1ap/counting_buchi_1ap_04.txt
counting_buchi_1ap_05.txt,NOT_LTL,,1.171,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_05.txt
counting_buchi_1ap_06.txt,LTL,daisy+daisystardet,0.083,a & (Ga | (((a | Xa) & (!a | X!a)) U (!a & XGa))),13,2,23,1.8,6584e5097340,TRUE,samples/kinska/counting/1ap/counting_buchi_1ap_06.txt
counting_buchi_1ap_07.txt,LTL,buchi+daisy+daisy2+daisystar+daisystardet+deep_roundtrip+inv+partscc+scc2+strength2,7.935,(!a | Xa) & (!a | X!a | Ga) & (a | ((a | Xa) U (a & Xa))) & (a | X((!a | X!a) U …,51,11,151,3.0,00bf046fc39f,TRUE,samples/kinska/counting/1ap/counting_buchi_1ap_07.txt
counting_buchi_1ap_08.txt,NOT_LTL,,1.204,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_08.txt
counting_buchi_1ap_09.txt,NOT_LTL,,1.158,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_09.txt
counting_buchi_1ap_10.txt,NOT_LTL,,1.154,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_10.txt
counting_buchi_1ap_11.txt,NOT_LTL,,1.158,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_11.txt
counting_buchi_1ap_12.txt,LTL,buchi+daisy+daisystar+daisystardet+deep_roundtrip+inv+scc2+strength2,2.655,!a & (Xa | ((a & X(a W (!a & Xa))) R (!a | X(!a R (a | X(a | X(a & X(!a & X!a)))…,23,3,53,2.3,edb60799066c,TRUE,samples/kinska/counting/1ap/counting_buchi_1ap_12.txt
counting_buchi_1ap_13.txt,LTL,buchi+daisy+daisystar+daisystardet+deep_roundtrip+inv+scc2+strength2,2.717,!a & (Xa | ((a & X(a W (!a & Xa))) R (!a | X(!a R (a | X(a | X(a & X(!a & X!a)))…,23,3,53,2.3,edb60799066c,TRUE,samples/kinska/counting/1ap/counting_buchi_1ap_13.txt
counting_buchi_1ap_14.txt,LTL,buchi+daisy+daisystar+daisystardet+deep_roundtrip+inv+scc2+strength2,2.751,!a & (Xa | ((a & X(a W (!a & Xa))) R (!a | X(!a R (a | X(a | X(a & X(!a & X!a)))…,23,3,53,2.3,edb60799066c,TRUE,samples/kinska/counting/1ap/counting_buchi_1ap_14.txt
